index,variable,question
49,V161021a,PRE: Was name recorded for registration name
50,V161022,PRE: Party of registration
51,V161022a,PRE: Does R intend to register to vote
52,V161023,PRE: Did R vote in a Presidential primary or caucus
53,V161024x,PRE: For which candidate did R vote in Presidential prim
54,V161025,PRE: Already voted in General Election
55,V161025a,PRE: Confirmation voted (early) in November 8 election
56,V161025x,PRE: In what manner did R vote
57,V161026,PRE: SUMMARY - Registration and early vote status
58,V161027,PRE: FTF ONLY: IWR CHECKPOINT: have correct Pre ballot card
59,V161028,PRE: FTF ONLY: IWR error at Ballot Card checkpoint
60,V161029a,PRE: SUMMARY - administration of Pre vote module
61,V161029b,PRE: Did R vote for President in 2016
62,V161030,PRE: For whom did R vote for President
63,V161031,PRE: Preference strong for Pres cand for whom R voted
64,V161032,PRE: Placehold Text- How long before election R made decision Pres vote
65,V161033,PRE: Placeholder Code- How long before election R made decision Pres vote
66,V161034,PRE: Does R intend to vote for President
67,V161035,PRE: For whom does R intend to vote for President
68,V161036,PRE: Pref strng for Pres cand for whom R intends to vote
69,V161037,PRE: Does R prefer Pres cand (no intent to register)
70,V161038,PRE: Preference for Pres cand (no intent to register)
71,V161039,PRE: Preference strong for Pres cand (no intent to reg)
72,V161040,PRE: Did R vote for U.S. House of Representatives
73,V161041,PRE: For whom did R vote for U.S. House (ballot card)
74,V161042,PRE: For whom did R vote for U.S. House (no ballot card)
75,V161043,PRE: Does R intend to vote for U.S. House
76,V161044,PRE: For whom does R intend to vote for U.S. House (ballot card)
77,V161045x,PRE: For whom does R intend to vote for U.S. House (no ballot cd)
78,V161046,PRE: Does R prefer U.S. House candidate
79,V161047,PRE: Whom does R prefer for U.S. House (ballot card)
80,V161048,PRE: Whom does R prefer for U.S. House (no ballot card)
81,V161049,PRE SUMMARY: Senate and Governor races
82,V161050,PRE: Did R vote for U.S. Senate
83,V161051,PRE: R's vote for U.S. Senate (ballot card)
84,V161052,PRE: R's vote for U.S. Senate (no ballot card)
85,V161053,PRE: Does R intend to vote for U.S. Senate
86,V161054,PRE: For whom does R intend to vote for U.S. Senate (ballot card)
87,V161055,PRE: For whom does R intend to vote for US. Senate (no ballot card)
88,V161056,PRE: Does R prefer U.S. Senate candidate
89,V161057,PRE: Whom does R prefer for U.S. Senate (ballot card)
90,V161058,PRE: Whom does R prefer for U.S. Senate (no ballot card)
91,V161059,PRE: Did R vote for governor
92,V161060,PRE: R's vote for governor(ballot card)
93,V161061,PRE: R's vote for governor (no ballot card)
94,V161062,PRE: Does R intend to vote for governor
95,V161063,
96,V161064x,
97,V161065x,
98,V161066x,PRE: For whom does R intend to vote for governor (ballot card)
99,V161067x,PRE: For whom does R intend to vote for governor (no ballot card)
100,V161068,PRE: Does R prefer gubernatorial candidate
101,V161069,PRE: Whom does R prefer for governor (ballot card)
102,V161070a,PRE: Whom does R prefer for governor (no ballot card)
103,V161071,PRE: SUMMARY - party of Pre-election Presidential vote/intent/preference
104,V161072,PRE: SUMMARY - party of Pre-election U.S. House vote/intent/preference
105,V161073a,PRE: SUMMARY - party of Pre-election U.S. Senate vote/intent/preference
106,V161074,PRE: SUMMARY - party of Pre-election Gubernatorial vote/intent/preference
107,V161075,PRE: Is there anything R likes about Democratic Pres cand
108,V161076a,PRE: Text- What is it that R likes about Democratic Pres cand
109,V161077,PRE: Code- What is it that R likes about Democratic Pres cand
110,V161078,PRE: Is there anything R dislikes about Democratic Pres cand
111,V161079a,PRE: Text- What is it that R dislikes about Democratic Pres cand
112,V161080,PRE: Code- What is it that R dislikes about Democratic Pres cand
113,V161080a,PRE: Is there anything R likes about Republican Pres cand
114,V161080x,PRE: Text- What is it that R likes about Republican Pres cand
115,V161081,PRE: Code- What is it that R likes about Republican Pres cand
116,V161082,PRE: Is there anything R dislikes about Republican Pres cand
117,V161082a,PRE: Text- What is it that R dislikes about Republican Pres cand
118,V161082x,PRE: Code- What is it that R dislikes about Republican Pres cand
119,V161083,PRE: Approval of Congress handling its job
120,V161083a,PRE: Strength appr disapprove Congress handling its job
121,V161083x,PRE: SUMMARY - Approval/disapproval Congress handling job
122,V161084,PRE: Are things in the country on right track
123,V161084a,PRE: Approve or disapprove President handling job as Pres
124,V161084x,PRE: How much approve or disapp Pres handling job
125,V161085,PRE: SUMMARY - Approval/disapproval President handling job
126,V161085a,PRE: Approve or disapprove President handling economy
127,V161085x,PRE: How much approve or disapprove Pres handling economy
128,V161086,PRE: SUMMARY - Approval/disapproval President handling economy
129,V161087,PRE: Approve or disapprove President handling foreign rel
130,V161088,PRE: How much approve or disapprove Pres handling foreign rel
131,V161089,PRE: SUMMARY - Approval/disapproval President handling foreign rel
132,V161090,PRE: Approve or disapprove President handling health care
133,V161091,PRE: How much approve or disapprove Pres handling health care
134,V161092,PRE: SUMMARY - Approval/disapproval President handling health care
135,V161093,PRE: Feeling Thermometer: Democratic Presidential cand
136,V161094,PRE: Feeling Thermometer: Republican Presidential cand
137,V161095,PRE: Feeling Thermometer: Libertarian Presidential cand
138,V161096,PRE: Feeling Thermometer: Green Party Presidential cand
139,V161097,PRE: Feeling Thermometer: Democratic Vice-Pres cand
140,V161098,PRE: Feeling Thermometer: Republican Vice-Pres cand
141,V161099a,PRE: Feeling Thermometer: Previous President
142,V161100,PRE: Feeling Thermometer: Bill Clinton
143,V161101,PRE: Feeling Thermometer: Libertarian Vice-Pres cand
144,V161102a,PRE: Feeling Thermometer: Democratic Party
145,V161103,
146,V161104,
147,V161105a,
148,V161106,PRE: Feeling Thermometer: Republican Party
149,V161107,PRE: Is there anything R likes about Democratic Party
150,V161108a,PRE: Text- What does R like about Democratic party
151,V161109,PRE: Code- What does R like about Democratic party
152,V161110,PRE: Is there anything R dislikes about Democratic Party
153,V161111,PRE: Text- What does R dislike about the Democratic party
154,V161112,PRE: Code- What does R dislike about the Democratic party
155,V161113,PRE: Is there anything R likes about Republican Party
156,V161114a,PRE: Text- What does R like about Republican party
157,V161114b,PRE: Code- What does R like about Republican party
158,V161114x,PRE: Is there anything R dislikes about Republican Party
159,V161115,PRE: Text- What does R dislike about the Republican party
160,V161116,PRE: Code- What does R dislike about the Republican party
161,V161117,PRE: R living with how many family members
162,V161118,PRE: R how much better worse off than 1 year ago
163,V161119,PRE: R how much better worse off next year
164,V161120,PRE: Does R have health insurance
165,V161121,PRE: Favor or oppose 2010 health care law
166,V161122,PRE: Strength favor 2010 health care law
167,V161123,PRE: Strength oppose 2010 health care law
168,V161124,PRE: Summary: favor/oppose 2010 health care law
169,V161125,PRE: Self-evaluation of R health
170,V161126,PRE: Affect for Democratic Pres cand: angry
171,V161127,PRE: Affect for Democratic Pres cand: hopeful
172,V161128,PRE: Affect for Democratic Pres cand: afraid
173,V161129,PRE: Affect for Democratic Pres cand: proud
174,V161130,PRE: Affect for Democratic Pres cand: disgusted
175,V161131,PRE: Affect for Republican Pres cand: angry
176,V161132,PRE: Affect for Republican Pres cand: hopeful
177,V161133,PRE: Affect for Republican Pres cand: afraid
178,V161134a,PRE: Affect for Republican Pres cand: proud
179,V161134b,PRE: Affect for Republican Pres cand: disgusted
180,V161135a,PRE: 7pt scale Liberal conservative self-placement
181,V161135b,PRE: If R had to choose liberal or conservative self-placemt
182,V161136,PRE: 7pt scale liberal conservative - Dem Pres cand
183,V161137,PRE: 7pt scale liberal conservative - Rep Pres cand
184,V161138a,PRE: 7pt scale liberal conservative Dem party
185,V161138b,PRE: 7pt scale liberal conservative Rep party
186,V161138x,PRE: SUMMARY - PLACEMENT 1 or PLACEMENT 2
187,V161139,PRE: PLACEMENT 1: How likely is it R will vote in Nov
188,V161140,PRE: PLACEMENT1: Percent for Democratic Pres candidate
189,V161140a,PRE: PLACEMENT1: Percent for Republican Pres candidate
190,V161140x,PRE: PLACEMENT1: State percent for Democratic Pres candidate
191,V161141,PRE: PLACEMENT1: State percent for Republican Pres candidate
192,V161141a,PRE: Party Control or split government
193,V161141x,PRE: Income gap today more or less than 20 years ago
194,V161142,PRE: How much larger is income gap today
195,V161142a,
196,V161142x,
197,V161143,
198,V161144,PRE: How much smaller is income gap today
199,V161145,PRE: SUMMARY - larger/smaller income gap today
200,V161146,PRE: Current economy good or bad
201,V161147,PRE: National economy better worse in last year
202,V161148,PRE: How much national economy better worse in last year
203,V161149,PRE: SUMMARY - economy better/worse in last year
204,V161150a,PRE: Economy better or worse in next 12 months
205,V161150b,PRE: How much econ better worse next 12 months
206,V161151a,PRE: SUMMARY - economy better/worse in next year
207,V161151b,PRE: Unemployment better or worse in last year
208,V161151x,PRE: How much unemployment better or worse in last year
209,V161152,PRE: SUMMARY: more/less unemployment in last year
210,V161153,PRE: More or less unemployment in next year
211,V161154,PRE: Which party better: handling nations economy
212,V161155,PRE: Care who wins Presidential Election revised version
213,V161155a,PRE: Who does R think will be elected President
214,V161156,PRE: Will Pres race be a close or will (winner) win by a lot
215,V161157,PRE: Which Pres cand will carry state
216,V161158x,PRE: Will Pres race be close in state
217,V161159,PRE: VERSION 1A placement- Does R consider voting a duty or choice
218,V161160,PRE: VERSION 1B placement- Does R consider voting a choice or duty
219,V161161,PRE: How strongly does R feel that voting is a duty
220,V161162,PRE: How strongly does R feel that voting is a choice
221,V161163,PRE: SUMMARY - Voting as duty or choice
222,V161164,"PRE: During last year, U.S. position in world weaker str"
223,V161165,PRE: Country would be better off if we just stayed home
224,V161166,PRE: Force to solve international problems
225,V161167,"PRE: Party ID: Does R think of self as Dem, Rep, Ind or what"
226,V161168,PRE: Party ID other specifys
227,V161169,PRE: Party Identification strong - Democrat Republican
228,V161170,PRE: No Party Identification - closer to Dems or Reps
229,V161171,PRE: SUMMARY - Party ID
230,V161172,PRE: Pres Dem cand trait strong leadership
231,V161173,PRE: Pres Dem cand trait really cares
232,V161174,PRE: Pres Dem cand trait knowledgeable
233,V161175,PRE: Pres Dem cand trait honest
234,V161176,PRE: Pres Dem cand trait speaks mind
235,V161177,PRE: Pres Rep cand trait strong leadership
236,V161178,PRE: Pres Rep cand trait really cares
237,V161179,PRE: Pres Rep cand trait knowledgeable
238,V161180,PRE: Pres Rep cand trait honest
239,V161181,PRE: Pres Rep cand trait speaks mind
240,V161182,PRE: Pres Dem cand even-tempered
241,V161183,PRE: Pres Rep cand even-tempered
242,V161184,PRE: Prefer government official who compromises
243,V161185,PRE: How should party nominees be chosen
244,V161186,PRE: Rep and Dem adequate parties
245,V161187,
246,V161188,
247,V161189,
248,V161190,PRE: Serious third party or independent Pres cand choice
249,V161191,PRE: Supreme Court nominee - legal qualifications
250,V161192,PRE: Supreme Court nominee - likely to vote on controversial issues
251,V161193,PRE: Senate vote on Supreme Court nominee by outgoing President
252,V161193a,PRE: 7pt scale spending and Services self-placement
253,V161194x,PRE: 7pt scale spending and Services Dem Presidential cand
254,V161195,PRE: 7pt scale spending and Services Rep Presidential cand
255,V161195a,PRE: 7pt scale defense spending self-placement
256,V161195x,PRE: 7pt scale defense spending Dem Pres cand
257,V161196,PRE: 7pt scale defense spending Rep Pres cand
258,V161196a,PRE: 7pt scale govt-private medical insur scale: self-plmt
259,V161196x,PRE: 7pt scale govt-private medical insur scale: Dem Pres cand
260,V161197,PRE: 7pt scale govt-private medical insur scale: Rep Pres cand
261,V161198,PRE: Should fed govt make it more difficult to buy a gun
262,V161199,PRE: Importance of gun access issue to R
263,V161200,PRE: 7pt scale guaranteed job-income scale: self-placement
264,V161201,PRE: 7pt scale guaranteed job-income scale: Dem Pres cand
265,V161202,PRE: 7pt scale guaranteed job-income scale: Rep Pres cand
266,V161203,PRE: U.S. government policy toward unauthorized immigrants
267,V161204,PRE: Favor or oppose ending birthright citizenship
268,V161204a,PRE: Strength R favors or opposes ending birthright citizenship
269,V161204b,PRE: SUMMARY - birthright citizenship
270,V161204x,PRE: Children brought illegally sent back
271,V161205,PRE: Children brought illegally strength follow-up
272,V161206,PRE: SUMMARY - Children brought illegally
273,V161207,PRE: Build a wall with Mexico
274,V161208,PRE: Build a wall with Mexico strength follow-up
275,V161209,PRE: SUMMARY - Build wall with Mexico
276,V161210,PRE: How important to speak English in US
277,V161211,PRE: 7pt scale govt assistance to blacks scale: self-placemt
278,V161212,PRE: 7pt scale govt assistance to blacks scale: Dem Pres cand
279,V161213,PRE: 7pt scale govt assistance to blacks scale: Rep Pres cand
280,V161213a,PRE: 7pt scale environment-jobs tradeoff self-placement
281,V161213x,PRE: 7pt scale environment-jobs tradeoff Dem Pres cand
282,V161214,PRE: 7pt scale environment-jobs tradeoff Rep Pres cand
283,V161214a,PRE: Does R favor or oppose affirmative action in universities
284,V161214x,PRE: How much does R favor affirmative action in universities
285,V161215,PRE: How much does R oppose affirmative action in universities
286,V161216,PRE: SUMMARY - Favor or oppose affirmative action in universities
287,V161217,PRE: Federal Budget Spending: Social Security
288,V161218,PRE: Federal Budget Spending: public schools
289,V161219,PRE: Federal Budget Spending: science and technology
290,V161220,PRE: Federal Budget Spending: dealing with crime
291,V161221,PRE: Federal Budget Spending: welfare programs
292,V161222,PRE: Federal Budget Spending: child care
293,V161223,PRE: Federal Budget Spending: aid to the poor
294,V161224,PRE: Federal Budget Spending: protecting the environment
295,V161224a,
296,V161225x,
297,V161226,
298,V161226a,PRE: Sending troops to fight ISIS
299,V161226x,PRE: Sending troops to fight ISIS follow-up
300,V161227,PRE: SUMMARY - send troops to fight ISIS
301,V161227a,PRE: Should Syrian refugees be allowed to come to the U.S.
302,V161227x,PRE: Allow Syrian refugees strength
303,V161228,PRE: SUMMARY - Allow Syrian refugees
304,V161228a,PRE: REV How often trust govt in Wash to do what is right
305,V161228x,PRE: Govt run by a few big interests or for benefit of all
306,V161229,PRE: Does government waste much tax money
307,V161229a,PRE: How many in government are corrupt
308,V161229x,PRE: How often can people be trusted
309,V161230,PRE: Elections make govt pay attention
310,V161231,PRE: Is global warming happening or not
311,V161232,PRE: Anthropogenic climate change
312,V161233,PRE: Approve or disapprove fracking
313,V161233a,PRE: Govt action about rising temperatures
314,V161233x,PRE: Strength of position on govt action about rising temperatures
315,V161234,PRE: SUMMARY - Govt action about rising temperatures
316,V161235,PRE: Require employers to offer paid leave to parents of new children
317,V161235a,PRE: Strength require employers to offer paid leave to parents of new children
318,V161235x,PRE: SUMMARY - require employers to offer paid leave to new parents
319,V161236,PRE: Services to same sex couples
320,V161237,PRE: Services to same sex couples strength
321,V161238,PRE: SUMMARY - Services to same sex couples
322,V161239a,PRE: Transgender bathroom policy
323,V161239b,PRE: Transgender policy strength
324,V161240a,PRE: SUMMARY - Transgender policy
325,V161240b,PRE: Should laws protect gays lesbians against job discrim
326,V161241,PRE: How much fav opp laws protect gays lesbians job discrim
327,V161242,PRE: SUMMARY - Laws to protect gays and lesbians against job discrim
328,V161243,PRE: Should gay and lesbian couples be allowed to adopt
329,V161244,PRE: R position on gay marriage
330,V161245,PRE: STD Abortion: self-placement
331,V161245a,PRE: R favor oppose death penalty
332,V161246,PRE: Strength R favors opposes death penalty
333,V161247a,PRE: SUMMARY - Favor or oppose death penalty
334,V161247b,PRE: U.S. more or less secure than when Pres took office
335,V161248,PRE: Economy better since 2008
336,V161249,PRE: Economy better/worse since 2008 strength
337,V161250,PRE: SUMMARY - Economy since 2008
338,V161251,PRE: Affect for Obama - angry
339,V161252,PRE: Affect for Obama - proud
340,V161253,PRE: PLACEMENT 2: How likely is it that R will vote in Nov
341,V161254,PRE: PLACEMENT 2: Percent for Democratic Pres candidate
342,V161255,PRE: PLACEMENT 2: Percent for Republican Pres candidate
343,V161256,PRE: PLACEMENT 2: State percent for Democratic Pres candidate
344,V161257,PRE: PLACEMENT 2: State percent for Republican Pres candidate
345,V161258,
346,V161259,
347,V161260,
348,V161261,PRE: Is religion important part of R life
349,V161262a,PRE: Religion provides guidance in day-to-day living
350,V161262b,PRE: Is Bible word of God or men
351,V161263,PRE: Ever attend church or religious services
352,V161264x,PRE: Attend religious services how often
353,V161265x,PRE: Attend church more often than once a week
354,V161266a,PRE: Ever think of self as part of church or denomination
355,V161266b,PRE: (Attends church) R subjective description own major religious group
356,V161266c,PRE: (Nonattendance) R subjective description of own major religious group
357,V161266d,PRE: R subjective description of own major relig denomination
358,V161266e,PRE: R description of specific Baptist denomination
359,V161266f,PRE: R description of specific indep. Baptist denomination
360,V161266g,PRE: R description of specific Lutheran denomination
361,V161266h,PRE: R description of specific Methodist denomination
362,V161266j,PRE: R description of specific Presbyterian denomination
363,V161266k,PRE: R description of specific Reformed denomination
364,V161266m,PRE: R description of specific Brethren denomination
365,V161266n,PRE: R description of specific Disciples denomination
366,V161266p,PRE: R description of specific Church of Christ denomination
367,V161267,PRE: R description of specific Church of God denomination
368,V161267a,PRE: R description of specific Holiness Pentecostal denomination (open-end)
369,V161267b,PRE: R description of specific other denomination (open-end)
370,V161267c,PRE: Specific other denomination Christian
371,V161267x,PRE: (Attends) Specific Jewish denomination
372,V161268,PRE: (Nonattendance) Specific Jewish denomination
373,V161269,PRE: Does Christian R consider self born again
374,V161270,PRE: SUMMARY - Full religion summary
375,V161271,PRE: SUMMARY - Major group religion summary
376,V161272,PRE: Religious identification type: Fundamentalist
377,V161273,PRE: Religious identification type: Charismatic/Pentecostal
378,V161274a,PRE: Religious identification type: Born again
379,V161274b,PRE: Religious identification type: Evangelical
380,V161275x,PRE: Religious identification type: Traditional
381,V161276x,PRE: Religious identification type: Mainline
382,V161277,PRE: Religious identification type: Progressive
383,V161278,PRE: Religious identification type: Non-traditional
384,V161279,PRE: Religious identification type: Secular
385,V161280a,PRE: Religious identification type: Agnostic
386,V161280b,PRE: Religious identification type: Atheist
387,V161280c,PRE: Religious identification type: Spiritual but not religious
388,V161281,PRE: Religious identification type: None of the above
389,V161282a,PRE: Respondent age
390,V161282b,PRE: RESTRICTED- Birthdate: month of birth
391,V161283a,PRE: RESTRICTED- Birthdate: day of birth
392,V161283b,PRE: Birthdate: year of birth
393,V161284,PRE: SUMMARY - Respondent age group
394,V161285,PRE: R marital status
395,V161286,
396,V161287,
397,V161288,
398,V161289,PRE: Domestic partnership status
399,V161290,PRE: Highest level of Education
400,V161291a,PRE: R high school completion- diploma or GED
401,V161291b,PRE: Spouse partner: Highest Level of Education
402,V161292a,PRE: Spouse high school completion- diploma or GED
403,V161292b,PRE: Previously served on active duty in armed forces
404,V161293,PRE: RESTRICTED- Now serving on active duty in armed forces
405,V161294,PRE: SUMMARY - R occupation status 2 digit
406,V161295,PRE: SUMMARY - R occupation status 1 digit
407,V161296,"PRE: Initial R employment status, start of occupation module"
408,V161297,PRE: Initial status Homemaker student: working now
409,V161298,PRE: Initial status Homemaker student: job in last 6 mon
410,V161299,PRE: RESTRICTED: Initial status retiree - month when retired
411,V161300a,PRE: RESTRICTED: Initial status retiree - day when retired
412,V161300b,PRE: Initial status retiree - year when retired
413,V161300c,PRE: Initial status unemployed disabled: R ever work for pay
414,V161300d,PRE: Text- Past occupation (R ret dis unemp hmkr stud)
415,V161300e,PRE: Code- Past occupation (R ret dis unemp hmkr stud)
416,V161300f,PRE: Text- Past industry (R ret dis unemp hmkr stud)
417,V161300g,PRE: Code- Past industry (R ret dis unemp hmkr stud)
418,V161301a,PRE: Past self-empl status (R ret dis unemp hmkr stud)
419,V161301b,PRE: Past occupation: govt work (R ret dis unemp hmkr stud)
420,V161302,PRE: Initial status unempl ret disabled: job in last 6 mo
421,V161303,PRE: Recent occupation: how many hours worked avg week
422,V161304,PRE: Initial status retired disabled: working now
423,V161305a,PRE: Init status nonworkg ret dis unemp hmkr st: look for work
424,V161305b,PRE: Init status nonworkg ret dis unemp hmkr st: worry find job
425,V161306,PRE: Working TLO now - occupation
426,V161307,PRE: Code- Working TLO now - occupation
427,V161307a,PRE: Text- working or TLO industry of occupation
428,V161308x,PRE: Code- working or TLO industry of occupation
429,V161309,PRE: Working TLO now - work for self
430,V161310a,PRE: Working TLO now - work for govt
431,V161310b,PRE: Working TLO now - how many hours R works
432,V161310c,PRE: Working TLO now - hours works OK
433,V161310d,PRE: Working TLO now: worry about losing job in near future
434,V161310e,PRE: Working now: out of work or laid off in last 6 mos
435,V161310f,PRE: Working now: had reduction in work hrs or pay cut
436,V161310g,PRE: Working now - spouse/partner employment status
437,V161310x,PRE: Temporarily laid off - spouse/partner employment status
438,V161311,PRE: Unemployed - spouse/partner employment status
439,V161312a,PRE: Retired - spouse/partner employment status
440,V161313,PRE: Permanently disabled - spouse/partner employment status
441,V161314,PRE: Homemaker - spouse/partner employment status
442,V161314a,PRE: Student - spouse/partner employment status
443,V161315,PRE: Spouse partner placeholder redacted
444,V161316,PRE: Spouse partner placeholder code
445,V161317,
446,V161318,
447,V161319,
448,V161319x,PRE: Anyone in HH belong to labor union
449,V161320,PRE: Who in HH belongs to labor union
450,V161321,PRE: Think of self as belonging to class
451,V161321a,PRE: Social Class: working or middle
452,V161322,PRE: Social Class: had to choose working middle
453,V161322a,PRE: Social class: average or upper working middle class
454,V161323,PRE: Social class (2-question version)
455,V161324,PRE: EGSS social class if middle class
456,V161325a,PRE: SUMMARY - R self-identified social class
457,V161325b,"PRE: R: Are you Spanish, Hispanic, or Latino"
458,V161325c,PRE: R self-identified race - White mentioned
459,V161325d,PRE: R self-identified race -Black/African-American mentioned
460,V161325e,PRE: R self-identified race - American Indian/Alaska Native mentioned
461,V161326,PRE: R self-identified race - Asian mentioned
462,V161327,PRE: R self-identified race - Native Hawaiian/Other Pacific Islander mentioned
463,V161328,PRE: R self-identified race - other mention
464,V161329,PRE: R race other mention type
465,V161330,PRE: SUMMARY - R self-identified race
466,V161331a,PRE: RESTRICTED Text- R self-identified ethnic group(s) other than American
467,V161331b,PRE: RESTRICTED Codes - R self-identified ethnic group(s) other than American
468,V161331x,PRE: FTF ONLY: IWR CHECKPOINT: number of ethnic mentions
469,V161332,PRE: RESTRICTED - R ethnic group identifies with most
470,V161333,PRE: RESTRICTED Code - ethic group most identify with
471,V161334,PRE: Native status of parents
472,V161335,"PRE: Rs: born U.S., Puerto Rico, or some other country"
473,V161335a,PRE: How many grandparents born outside the U.S.
474,V161336,PRE: RESTRICTED - Hispanic country/countries of origin
475,V161337,PRE: LATINO Rs: RESTRICTED- most family from which country
476,V161338,PRE: SUMMARY - Hispanic summary
477,V161339,PRE: Latino Rs: Mexican heritage:
478,V161340,PRE: RESTRICTED- NON-US BORN Rs: When did R arrive in U.S.
479,V161341,PRE: NON-US BORN Rs: Time period when R arrived in U.S.
480,V161342,PRE: RESTRICTED- NON-US BORN Rs: In what year did R become a U.S. citizen
481,V161342a,PRE: NON-US BORN Rs: Time period when R became U.S. citizen
482,V161343,PRE: LATINO Rs: language at home
483,V161344,PRE: How many children in HH age 0-17
484,V161345,PRE: School enrollment of HH children- public school
485,V161346,PRE: School enrollment of HH children- private religious school
486,V161347,PRE: School enrollment of HH children- private non-religious school
487,V161348,PRE: School enrollment of HH children- home schooling
488,V161349,PRE: School enrollment of HH children- not enrolled in school
489,V161350,PRE: Internet use at home
490,V161351,PRE: Cell or Landline service
491,V161352,PRE: Does R personally have a cell phone
492,V161353,PRE: Is R's cell phone a smartphone
493,V161354,PRE: Where R grew up
494,V161355,PRE: How long lived in this community YRS
495,V161356,
496,V161357,
497,V161358,
498,V161359,PRE: How long lived in this community MONTHS
499,V161360,PRE: SUMMARY - Length in current community
500,V161361x,PRE: RESTRICTED- (<24 tot mos in community) Zip Code of previous residence
501,V161362,PRE: RESTRICTED- City/state of previous residence
502,V161363a,PRE: Home ownership
503,V161363b,PRE: Has R ever changed name
504,V161363c,PRE: RESTRICTED- Year of most recent change
505,V161363d,PRE: Has R ever used an alternate name
506,V161363e,PRE: Years R lived at address
507,V161363f,PRE: RESTRICTED- (<5 years at address) Where did R live five years ago
508,V161364,PRE: Does R have unexpired govt Drivers license
509,V161365,PRE: Does R have unexpired govt Passport
510,V161366,PRE: Does R have other govt ID
511,V161367,PRE FTF CASI / WEB: R self-identified gender
512,V161368,PRE: RESTRICTED - Other gender follow-up
513,V161369,PRE FTF CASI/WEB: Roughing up protestors
514,V161370,PRE FTF CASI/WEB: Justified to use violence
515,V161371,PRE FTF CASI/WEB: Consider yourself a feminist
516,V161372,PRE FTF CASI/WEB: How well does feminist describe you
517,V161373,PRE FTF CASI/WEB: How important is being a feminist
518,V161374,PRE FTF CASI/WEB: How well does anti-feminist describe you
519,V161375,PRE FTF CASI/WEB: How important is being anti-feminist
520,V161376,PRE FTF CASI/WEB: Money invested in Stock Market
521,V161377,PRE FTF CASI/WEB: RESTRICTED- Total income amount
522,V161378,PRE FTF CASI/WEB: Income amt missing - ge or lt 40K
523,V161379,PRE FTF CASI/WEB: Income amt missing - ge or lt 20K
524,V161380,PRE FTF CASI/WEB: Income amt missing - categories lt 20K
525,V161381,PRE FTF CASI/WEB: Income amt missing - categories 20-40K
526,V161382,PRE FTF CASI/WEB: Income amt missing - ge or lt 70K
527,V161383,PRE FTF CASI/WEB: Income amt missing - categories 40-70K
528,V161384,PRE FTF CASI/WEB: Income amt missing - ge or lt 100K
529,V161385,PRE FTF CASI/WEB: Income amt missing - categories 70-100K
530,V161386,PRE FTF CASI/WEB: Income amt missing - categories 100+K
531,V161387,PRE FTF CASI/WEB: Pre income summary
532,V161388,PRE FTF CASI/WEB: Need to be more sensitive talking or people too easily offended
533,V161389,PRE FTF CASI/WEB: Mention: Television news programs (morning or evening)
534,V161390,PRE FTF CASI/WEB: Mention: Newspapers
535,V161391,
536,V161392,
537,V161393,
538,V161394,"PRE FTF CASI/WEB: Mention: Television talk shows, public affairs, or news analysis programs"
539,V161395,"PRE FTF CASI/WEB: Mention: Internet sites, chat rooms, or blogs"
