Variable,sum1,sum2,sum3,sum4,q_orig,q_1,q_2,q_3,q_4,Valid1,Valid2,Valid3,Valid4,Missing1,Missing2,Missing3,Missing4,Sources
VCF9323,"PRE: PREFER GOVERNMENT OFFICIAL WHO COMPROMISES OR STICKS TO PRINCIPLES PRE- ELECTION SURVEY VARIABLES 145
PRE: HOW STRONGLY PREFER GOV OFFICIAL WHO COMPROMISES OR STICKS TO PRINCIPLES",PRE: PREFER GOVERNMENT OFFICIAL WHO COMPROMISES OR STICKS TO PRINCIPLES,PRE: Prefer government official who compromises,,Prefer govt officials compromise vs stick to principles,"Would you prefer a government oﬃcial who compromises to get things done, or who sticks to their principles no matter what?
How strongly do you feel this way? [Very strongly, moderately strongly, or slightly strongly / slightly strongly, moderately strongly, or very strongly]","Would you prefer a government official who compromises to get things done, or who sticks to their principles no matter what?","W ould you prefer a government official who compromises to get things done, or who sticks to his or her principles no matter what?",,"1. Compromises to get things done
2. Sticks to their principles no matter what
1. Very strongly
2. Moderately strongly
3. Slightly strongly","1. Compromises to get things done
2. Sticks to their principles no matter what","1. Compromises to get things
2. Sticks to his or her",,"-9. Refused
-8. Don’t know
-1. Inapplicable
-9. Refused
-8. Don’t know
-1. Inapplicable","-9. Refused
-8. Don’t know","-8. Don’t know (FTF only)
-9. Refused",,"2024: V241336;V241337
2020: V201379
2016: V161171"
VCF9324,POST: CSES6-Q03: AGREE/DISAGREE: R UNDERSTANDS MOST IMPORTANT POLITICAL ISSUES,POST: CSES5-Q03: AGREE/DISAGREE: R UNDERSTANDS MOST IMPORTANT POLITICAL ISSUES,POST: R understands most important political issues,,CSES: How much does R agree or disagree that R feel that R understand the most important political issues in of this country.,"Please tell me whether you [strongly agree, somewhat agree, neither agree nor disagree, somewhat disagree, or strongly disagree strongly / strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, or strongly agree] with each of the following statements: You feel you understand the most important political issues of this country. (Do you [strongly agree, somewhat agree, neither agree nor disagree, somewhat disagree, or strongly disagree strongly / strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, or strongly agree]?)","Please tell me whether you agree strongly, agree somewhat, neither agree nor disagree, disagree somewhat, or disagree strongly with each of the following statements: You feel you understand the most important political issues of this country. Do you agree strongly, agree somewhat, neither agree nor disagree, disagree somewhat, or disagree strongly? POST-ELECTION SURVEY VARIABLES 545","T urning again to page [PRELOAD: page] of the booklet. Please tell me whether you [agree strongly , agree somewhat, neither agree nor disagree, disagree somewhat, or disagree strongly / disagree strongly , disagree some- what, neither agree nor disagree, agree somewhat, or agree strongly] with each of the following statements: Y ou feel you understand the most impor- tant political issues of this country . DO NOT PROBE DON’T KNOW F or W eb administration, reference to the respondent booklet was omitted. F orward/reverse response option order",,"1. Strongly agree
2. Somewhat agree
3. Neither agree nor disagree
4. Somewhat disagree
5. Strongly disagree","1. Agree strongly
2. Agree somewhat
3. Neither agree nor disagree
4. Disagree somewhat
5. Disagree strongly","1. Agree strongly
2. Agree somewhat
3. Neither agree nor disagree
4. Disagree somewhat
5. Disagree strongly",,"-9. Refused
-8. Don’t know
-7. Insuﬃcient partial, interview deleted
-6. No post interview
-5. Suﬃcient partial, breakoﬀ
-1. Inapplicable","-9. Refused
-8. Don’t know
-7. No post-election data, deleted due to incomplete interview
-6. No post-election interview
-5. Interview breakoff (sufficient partial IW)","-6. No post-election interview
-7. No post data, deleted due
-8. Don’t know
-9. Refused",,"2024: V242408
2020: V202408
2016: V162258"
VCF9325,POST: HOW OFTEN BOUGHT OR BOYCOTTED PRODUCT/SERVICE FOR SOCIAL/POLITICAL REASONS,POST: HOW OFTEN BOUGHT OR BOYCOTTED PRODUCT/SERVICE FOR SOCIAL/POLITICAL REASONS,POST: How often bought or boycotted product or service for pol/soc reason,,R ever bought or declined to buy product or service due to political/social values of the company,"In the past 12 months, did you buy or boycott products or services based on the political values or business practices of that company?","In the past 12 months, how often have you either bought or declined to buy acertain product or service because of the social or political values of the company that provides it?","In the past 12 months, how often have you either bought or declined to buy a certain product or service because of the social or political values of the company that provides it? [Never, once in a while, about half the time, most of the time, or all the time / All the time, most of the time, about half the time, once in a while, or never]? F orward/reverse response option order",,"1. Yes
2. No","1. Never
2. Once in a while
3. About half the time
4. Most of the time
5. All the time","1. Never
2. Once in a while
3. About half the time
4. Most of the time
5. All the time",,"-9. Refused
-8. Don’t know
-7. Insuﬃcient partial, interview deleted
-6. No post interview
-4. Error
-1. Inapplicable","-9. Refused
-7. No post-election data, deleted due to incomplete interview
-6. No post-election interview","-6. No post-election interview
-7. No post data, deleted due
-8. Don’t know
-9. Refused",,"2024: V242037
2020: V202042
2016: V162141"
VCF9326,PRE: IS IT JUSTIFIED FOR PEOPLE TO USE VIOLENCE TO PURSUE POLITICAL GOALS,PRE: JUSTIFIED TO USE VIOLENCE,PRE FTF CASI/WEB: Justified to use violence,,How much does R feel it is justified to use violence for political goals,On another topic: How much do you feel it is justiﬁed for people to use violence to pursue their political goals in this country?,On another topic: How much do you feel it is justified for people to use violence to pursue their political goals in this country?,How much do you feel it is justified for people to use violence to pursue their political goals in this country? F orward/reverse response option order,,"1. Not at all
2. A little
3. A moderate amount
4. A lot
5. A great deal","1. Not at all
2. A little
3. A moderate amount
4. A lot
5. A great deal","1. Not at all
2. A little
3. A moderate amount
4. A lot
5. A great deal",,"-9. Refused
-5. Break oﬀ, suﬃcient partial
-1. Inapplicable","-9. Refused
-5. Interview breakoff (sufficient partial IW)","-5. Interview breakoff
-9. Refused",,"2024: V241579
2020: V201602
2016: V161344"
VCF9327,PRE: BEST WAY TO DEAL WITH URBAN UNREST,PRE: BEST WAY TO DEAL WITH URBAN UNREST PRE- ELECTION SURVEY VARIABLES 183,,,What is the best way to deal with urban unrest and rioting?,"What is the best way to deal with the problem of urban unrest and rioting? Some say it is more important to use all available force to maintain law and order, no matter what results. Others say it is more important to correct the problems of racism and police violence that give rise to the disturbances. And, of course, other people have opinions in between. On this scale from 1 to 7, where 1 means solve problems of racism and police violence, and 7 means use all available force to maintain law and order, where would you place yourself on this scale, or haven’t you thought much about this?","What is the best way to deal with the problem of urban unrest and rioting? Some say it is more important to use all available force to maintain law and order, no matter what results. Others say it is more important to correct the problems of racism and police violence that give rise to the disturbances. And, of course, other people have opinions in between. On this scale from 1 to 7, where 1 means solve problems of racism and police violence, and 7 means use all available force to maintain law and order, where would you place yourself on this scale, or haven’t you thought much about this?",,,"1. Solve problems of racism and police violence
7. Use all available force to maintain law and order
99. Haven’t thought much about this","1. Solve problems of racism and police violence
2.
3.
4.
5.
6.
7. Use all available force to maintain law and order
99. Haven’t thought much about this",,,"-9. Refused
-8. Don’t know
-1. Inapplicable","-9. Refused
-8. Don’t know",,,"2024: V241397
2020: V201429
1968: V680464"
VCF9328,PRE: HOW MUCH R CARES WHO WINS PRESIDENTIAL ELECTION [REVISED],PRE: HOW MUCH R CARES WHO WINS PRESIDENTIAL ELECTION [REVISED],PRE: Care who wins Presidential Election revised version,,Does R personally care a good deal or not care very much who wins the Presidential election this fall [5 pt scale],"How much do you care who wins the presidential election this fall? [A great deal, a lot, a moderate amount, a little, or not at all / Not at all, a little, a moderate amount, a lot, or a great deal]?",How much do you care who wins the presidential election this fall? 108 CODEBOOK: VARIABLES,"How much do you care who wins the presidential election this fall? [A great deal, a lot, a moderate amount, a little, or not at all / Not at all, a little, a moderate amount, a lot, or a great deal]? F orward/reverse response option order",,"1. A great deal
2. A lot
3. A moderate amount
4. A little
5. Not at all","1. A great deal
2. A lot
3. A moderate amount
4. A little
5. Not at all","1. A great deal
2. A lot
3. A moderate amount
4. A little
5. Not at all",,"-9. Refused
-8. Don’t know
-1. Inapplicable","-9. Refused
-8. Don’t know","-8. Don’t know (FTF only)
-9. Refused",,"2024: V241210
2020: V201216
2016: V161145"
VCF9329,"POST: HAS R IN PAST 12 MONTHS: JOINED A PROTEST MARCH, RALLY , OR DEMONSTRATION","POST: HAS R IN PAST 12 MONTHS: JOINED A PROTEST MARCH, RALLY, OR DEMONSTRATION",POST: DHS: Has R in past 12 months: joined a protest march,,"During the past 12 months, have you joined in a protest march, rally, or demonstration","During the past 12 months, have you joined in a protest march, rally, or demonstration, or have you not done this in the past 12 months?","During the past 12 months, have you joined in a protest march, rally, or demonstration, or have you not done this in the past 12 months?","During the past 12 months, have you joined in a protest march, rally , or demonstration, or have you not done this in the past 12 months?",,"1. Have done this in past 12 months
2. Have not done this in the past 12 months","1. Have done this in past 12 months
2. Have not done this in the past 12 months","1. Have done this in past
2. Have not done this in past",,"-9. Refused
-7. Insuﬃcient partial, interview deleted
-6. No post interview
-1. Inapplicable","-9. Refused
-7. No post-election data, deleted due to incomplete interview
-6. No post-election interview","-6. No post-election interview
-7. No post data, deleted due
-9. Refused",,"2024: V242029
2020: V202025
2016: V162018a"
VCF9330,POST: HAS R IN PAST 12 MONTHS: SIGN INTERNET OR PAPER PETITION,POST: HAS R IN PAST 12 MONTHS: SIGN INTERNET OR PAPER PETITION,POST: DHS: Has R in past 12 months: signed petition,,"During the past 12 months, have you signed a petition on paper or on the Internet about a political or social issue","During the past 12 months, have you signed a petition on the Internet or on paper about a political or social issue, or have you not done this in the past 12 months?","During the past 12 months, have you signed a petition on the Internet or on paper about a political or social issue, or have you not done this in the past 12 months?","During the past 12 months, have you signed a petition on the Internet or on paper about a political or social issue, or have you not done this in the past 12 months?",,"1. Have done this in past 12 months
2. Have not done this in the past 12 months","1. Have done this in past 12 months
2. Have not done this in the past 12 months","1. Have done this in past
2. Have not done this in past",,"-9. Refused
-8. Don’t know
-7. Insuﬃcient partial, interview deleted
-6. No post interview
-1. Inapplicable","-9. Refused
-7. No post-election data, deleted due to incomplete interview
-6. No post-election interview","-6. No post-election interview
-7. No post data, deleted due
-8. Don’t know
-9. Refused",,"2024: V242030
2020: V202026
2016: V162018b"
VCF9331,POST: HAS R IN PAST 12 MONTHS: GIVEN MONEY TO OTHER ORGANIZATION,POST: HAS R IN PAST 12 MONTHS: GIVEN MONEY TO OTHER ORGANIZATION,POST: DHS: Has R in past 12 months: gave money to soc/pol org,,"Not counting a religious organization, during the past 12 months, have you given money to any other organization concerned with a political or social issue","Not counting a religious organization, during the past 12 months, have you given money to any other organization concerned with a political or social issue, or have you not done this in the past 12 months?","Not counting a religious organization, during the past 12 months, have you given money to any other organization concerned with a political or social issue, or have you not done this in the past 12 months?","Not counting a religious organization, during the past 12 months, have you given money to any other organization concerned with a political or social issue, or have you not done this in the past 12 months?",,"1. Have done this in past 12 months
2. Have not done this in the past 12 months","1. Have done this in past 12 months
2. Have not done this in the past 12 months","1. Have done this in past
2. Have not done this in past",,"-9. Refused
-7. Insuﬃcient partial, interview deleted
-6. No post interview
-1. Inapplicable","-9. Refused
-7. No post-election data, deleted due to incomplete interview
-6. No post-election interview","-6. No post-election interview
-7. No post data, deleted due
-9. Refused",,"2024: V242031
2020: V202028
2016: V162018d"
VCF9332,POST: HAS R IN PAST 12 MONTHS: CONTACTED FEDERAL ELECTED OFFICIAL,POST: HAS R IN PAST 12 MONTHS: CONTACTED MEMBER OF US SENATE OR HOUSE OF REP,POST: Contact U.S. Representative or Senator,,"During the past 12 months, have you contacted or tried to contact a member of the U.S. Senate or U.S. House of Representatives","In the past twelve months, have you contacted a federal elected oﬃcial, such as a member of Congress or the President, or someone on the staﬀ of such an oﬃcial? Please don’t count any contact you made as a regular part of your job.","During the past 12 months, have you contacted or tried to contact a member of the U.S. Senate or U.S. House of Representatives, or have you not done this in the past 12 months?","During the past 12 months, have you contacted or tried to contact a member of the U.S. Senate or U.S. House of Representatives, or have you not done this in the past 12 months?",,"1. Yes, have done this in the past 12 months
2. No, have not done this","1. Have done this in past 12 months
2. Have not done this in the past 12 months","1. Have done this in past
2. Have not done this in past",,"-9. Refused
-7. Insuﬃcient partial, interview deleted
-6. No post interview
-1. Inapplicable","-9. Refused
-8. Don’t know
-7. No post-election data, deleted due to incomplete interview
-6. No post-election interview","-6. No post-election interview
-7. No post data, deleted due
-8. Don’t know
-9. Refused",,"2024: V242036
2020: V202030
2016: V162019"
VCF9333,POST: HAS R IN PAST 12 MONTHS: CONTACTED FEDERAL ELECTED OFFICIAL,POST: HAS R IN PAST 12 MONTHS: CONTACTED FEDERAL ELECTED OFFICIAL,POST: Has R contacted elected federal official in past 12 months,,"In past 12 months, have R contacted federal elected official and why?","In the past twelve months, have you contacted a federal elected oﬃcial, such as a member of Congress or the President, or someone on the staﬀ of such an oﬃcial? Please don’t count any contact you made as a regular part of your job.","In the past twelve months, have you contacted a federal elected official, such as a member of Congress or the President, or someone on the staff of such an official?","In the past twelve months, have you contacted a federal elected official, such as a member of Congress or the President, or someone on the staff of such an official?",,"1. Yes, have done this in the past 12 months
2. No, have not done this","1. Yes, have done this in the past 12 months
2. No, have not done this","1. Y es, have done this in the
2. No, have not done this",,"-9. Refused
-7. Insuﬃcient partial, interview deleted
-6. No post interview
-1. Inapplicable","-8. Don’t know
-7. No post-election data, deleted due to incomplete interview
-6. No post-election interview","-6. No post-election interview
-7. No post data, deleted due
-8. Don’t know
-9. Refused",,"2024: V242036
2020: V202034
2016: V162198"
VCF9334,POST: CSES6-Q01: HOW INTERESTED IN POLITICS IS R,POST: CSES5-Q01: HOW INTERESTED IN POLITICS IS R,POST: R’s interest in politics,,CSES: How interested would you say you are in politics?,"How interested would you say you are in politics? Are you [very interested, somewhat interested, not very interested, or not at all interested / not at all interested, not very interested, somewhat interested, or very interested]?","How interested would you say you are in politics? Are you very interested, somewhat interested, not very interested, or not at all interested?","How interested would you say you are in politics? Are you [very interested, somewhat interested, not very interested, or not at all interested / not at all interest, not very interested, somewhat interested, or very interested]? DO NOT PROBE DON’T KNOW F orward/reverse response option order",,"1. Very interested
2. Somewhat interested
3. Not very interested
4. Not at all interested","1. Very interested
2. Somewhat interested
3. Not very interested
4. Not at all interested","1. V ery interested
2. Somewhat interested
3. Not very interested
4. Not at all interested",,"-9. Refused
-7. Insuﬃcient partial, interview deleted
-6. No post interview
-5. Suﬃcient partial, breakoﬀ
-4. Error
-1. Inapplicable","-9. Refused
-8. Don’t know
-7. No post-election data, deleted due to incomplete interview
-6. No post-election interview
-5. Interview breakoff (sufficient partial IW)","-6. No post-election interview
-7. No post data, deleted due
-8. Don’t know
-9. Refused",,"2024: V242400
2020: V202406
2016: V162256"
VCF9335,POST: CSES6-Q02A: WATCH NEWS ON PUBLIC BROADCASTER,POST: CSES5-Q02: HOW CLOSELY DOES R FOLLOW POLITICS IN MEDIA,POST: R follows politics in media,,"CSES5: How closely do you follow politics on TV, radio, newspapers, or the Internet?","In the next questions, we would like to know what kind of media you used to follow news about parties and candidates during the recent election campaign. We begin with the traditional media of television, radio and newspapers, but regardless of whether you use these media in the traditional ways or online. During the recent election campaign, in a typical week, how many days did you: Watch the news on a public television broadcaster?","And how closely do you follow politics on TV, radio, newspapers, or the Internet?","And how closely do you follow politics on TV, radio, newspapers, or the Internet? [V ery closely , fairly closely , not very closely , or not at all / Not at all, not very closely , fairly closely , or very closely]? DO NOT PROBE DON’T KNOW F orward/reverse response option order",,"0. None/zero days
1. One day
2. Two days
3. Three days
4. Four days
5. Five days
6. Six days
7. Seven days","1. Very closely
2. Fairly closely
3. Not very closely
4. Not at all","1. V ery closely
2. F airly closely
3. Not very closely
4. Not at all",,"-9. Refused
-7. Insuﬃcient partial, interview deleted
-6. No post interview
-5. Suﬃcient partial, breakoﬀ
-1. Inapplicable","-9. Refused
-8. Don’t know
-7. No post-election data, deleted due to incomplete interview
-6. No post-election interview
-5. Interview breakoff (sufficient partial IW)","-6. No post-election interview
-7. No post data, deleted due
-8. Don’t know
-9. Refused",,"2024: V242401
2020: V202407
2016: V162257"
VCF9336,POST: LIMITS ON CAMPAIGN SPENDING,POST: LIMITS ON CAMPAIGN SPENDING,POST: Does R favor or oppose limits on campaign spending,,Favor/oppose limits on campaign spending,"Do you favor, oppose, or neither favor nor oppose placing limits on political campaign spending?","Do you favor, oppose, or neither favor nor oppose placing limits on political campaign spending?","IF CAMPFIN.SPENDLIM IS ASKED FIRST IN CAMPFIN MODULE / IF CAMPFIN.SPENDLIM IS NOT ASKED FIRST IN CAMPFIN MODULE: [Now looking at the booklet. Do you favor, oppose, or neither favor nor op- pose placing limits on political campaign spending? / Do you favor, oppose, or neither favor nor oppose placing limits on political campaign spending?] F or W eb administration, reference to the respondent booklet was omitted. RANDOMIZA TION: spendlim, org, direct / spendlim, direct, org / org, direct, spendlim / direct, org, spendlim",,"1. Favor
2. Oppose
3. Neither favor nor oppose","1. Favor
2. Oppose
3. Neither favor nor oppose","1. F avor
2. Oppose
3. Neither favor nor oppose",,"-9. Refused
-8. Don’t know
-7. Insuﬃcient partial, interview deleted
-6. No post interview
-5. Suﬃcient partial, breakoﬀ
-1. Inapplicable","-9. Refused
-8. Don’t know
-7. No post-election data, deleted due to incomplete interview
-6. No post-election interview
-5. Interview breakoff (sufficient partial IW)","-6. No post-election interview
-7. No post data, deleted due
-8. Don’t know
-9. Refused",,"2024: V242214
2020: V202225
2016: V162234"
VCF9337,POST: CONGRESS PASS LAWS THAT BENEFIT CONTRIBUTOR ORGANIZATION,POST: CONGRESS PASS LAWS THAT BENEFIT CONTRIBUTOR ORGANIZATION,POST: How much does Cong pass laws that benefit contributor organizations,,Does Congress pass laws to benefit organizations that spend money to support candidates,"When organizations spend ^indirect_amt on advertising to support candidates for Congress, how much does Congress respond by passing laws to beneﬁt those organizations? [A great deal, a lot, a moderate amount, a little, or not at all / Not at all, a little, a moderate amount, a lot, or a great deal]?","When organizations spend [$2,500/$250,000] on advertising to support candidates for Congress, how much does Congress respond by passing laws to benefit those organizations?","Looking at page [PRELOAD: page] of the booklet. When organizations spend money on advertising to support candidates for Congress, how much does Congress respond by passing laws to benefit those organizations? [A great deal, a lot, a moderate amount, a little, or not at all / Not at all, a little, a moderate amount, a lot, or a great deal]? F or W eb administration, reference to the respondent booklet was omitted. RANDOMIZA TION: spendlim, org, direct / spendlim, direct, org / org, direct, spendlim / direct, org, spendlim F orward/reverse response option order",,"1. A great deal
2. A lot
3. A moderate amount
4. A little
5. Not at all","1. A great deal
2. A lot
3. A moderate amount
4. A little
5. Not at all","1. A great deal
2. A lot
3. A moderate amount
4. A little
5. Not at all",,"-9. Refused
-8. Don’t know
-7. Insuﬃcient partial, interview deleted
-6. No post interview
-5. Suﬃcient partial, breakoﬀ
-1. Inapplicable","-9. Refused
-8. Don’t know
-7. No post-election data, deleted due to incomplete interview
-6. No post-election interview
-5. Interview breakoff (sufficient partial IW)","-6. No post-election interview
-7. No post data, deleted due
-8. Don’t know
-9. Refused",,"2024: V242215
2020: V202226
2016: V162235"
VCF9338,POST: CONGRESS PASS LAWS THAT BENEFIT CONTRIBUTOR INDIVIDUALS,POST: CONGRESS PASS LAWS THAT BENEFIT CONTRIBUTOR INDIVIDUALS,POST: How much does Cong pass laws that benefit contributor individuals,,Does Congress pass laws to benefit people that give [randomized amount of money],"When people give ^direct_amt each to the election campaigns of Members of Congress, how much does Congress respond by passing laws to beneﬁt people who gave them money? [A great deal, a lot, a moderate amount, a little, or not at all / Not at all, a little, a moderate amount, a lot, or a great deal]? POST-ELECTION SURVEY VARIABLES 431","When people give [$25/$250/$1,000/$2,500/$5,000] each to the election campaigns of Members of Congress, how much does Congress respond by passing laws to benefit people who gave them money?","Looking at page [PRELOAD: page] of the booklet. When people give [PRELOAD: U.S. House Republican candidate name]contrib.amt each to the election campaigns of Members of Congress, how much does Congress respond by passing laws to benefit people who gave them money?[A great deal, a lot, a moderate amount, a little, or not at all / Not at all, a little, a moderate amount, a lot, or a great deal]? F or W eb administration, reference to the respondent booklet was omitted. RANDOMIZA TION: spendlim, org, direct / spendlim, direct, org / org, direct, spendlim / direct, org, spendlim, contrib amt: 50 / 250 / 1000 / 2000 / 5000 F orward/reverse response option order",,"1. A great deal
2. A lot
3. A moderate amount
4. A little
5. Not at all","1. A great deal
2. A lot
3. A moderate amount
4. A little
5. Not at all","1. A great deal
2. A lot
3. A moderate amount
4. A little
5. Not at all",,"-9. Refused
-8. Don’t know
-7. Insuﬃcient partial, interview deleted
-6. No post interview
-5. Suﬃcient partial, breakoﬀ
-1. Inapplicable","-9. Refused
-8. Don’t know
-7. No post-election data, deleted due to incomplete interview
-6. No post-election interview
-5. Interview breakoff (sufficient partial IW)","-6. No post-election interview
-7. No post data, deleted due
-8. Don’t know
-9. Refused",,"2024: V242216
2020: V202227
2016: V162236"
VCF9339,POST: STATE OF R’S VOTING ADDRESS (NOT REGISTERED AT SAMPLE ADDRESS),,,,What is the state of registration (no determined elsewhere),It appears that the state name is missing from the address you provided. In what state is your address for voting? POST-ELECTION SURVEY VARIABLES 345,,,,"1. Alabama  2. Alaska  4. Arizona
5. Arkansas  6. California  8. Colorado
9. Connecticut  10. Delaware
11. District of Columbia (Washington DC)
12. Florida  13. Georgia   15. Hawaii
16. Idaho   17. Illinois   18. Indiana
19. Iowa   20. Kansas   21. Kentucky
22. Louisiana   23. Maine   24. Maryland
25. Massachusetts   26. Michigan   27. Minnesota
28. Mississippi   29. Missouri   30. Montana
31. Nebraska   32. Nevada   33. New Hampshire
34. New Jersey   35. New Mexico   36. New York
37. North Carolina   38. North Dakota   39. Ohio
40. Oklahoma   41. Oregon   42. Pennsylvania
44. Rhode Island   45. South Carolina   46. South Dakota
47. Tennessee   48. Texas   49. Utah
50. Vermont   51. Virginia   53. Washington
54. West Virginia   55. Wisconsin   56. Wyoming",,,,"-7. Insuﬃcient partial, interview deleted
-6. No post interview
-1. Inapplicable",,,,2024: V242057b
