index,variable,question
46,V161019,PRE: Was name recorded for registration name
47,V161020,PRE: Party of registration
48,V161021,PRE: Does R intend to register to vote
49,V161021a,PRE: Did R vote in a Presidential primary or caucus
50,V161022,PRE: For which candidate did R vote in Presidential prim
51,V161022a,PRE: Already voted in General Election
52,V161023,PRE: Confirmation voted (early) in November 8 election
53,V161024x,PRE: In what manner did R vote
54,V161025,PRE: SUMMARY - Registration and early vote status
55,V161025a,PRE: FTF ONLY: IWR CHECKPOINT: have correct Pre ballot card
56,V161025x,PRE: FTF ONLY: IWR error at Ballot Card checkpoint
57,V161026,PRE: SUMMARY - administration of Pre vote module
58,V161027,PRE: Did R vote for President in 2016
59,V161028,PRE: For whom did R vote for President
60,V161029a,PRE: Preference strong for Pres cand for whom R voted
61,V161029b,PRE: Placehold Text- How long before election R made decision Pres vote
62,V161030,PRE: Placeholder Code- How long before election R made decision Pres vote
63,V161031,PRE: Does R intend to vote for President
64,V161032,PRE: For whom does R intend to vote for President
65,V161033,PRE: Pref strng for Pres cand for whom R intends to vote
66,V161034,PRE: Does R prefer Pres cand (no intent to register)
67,V161035,PRE: Preference for Pres cand (no intent to register)
68,V161036,PRE: Preference strong for Pres cand (no intent to reg)
69,V161037,PRE: Did R vote for U.S. House of Representatives
70,V161038,PRE: For whom did R vote for U.S. House (ballot card)
71,V161039,PRE: For whom did R vote for U.S. House (no ballot card)
72,V161040,PRE: Does R intend to vote for U.S. House
73,V161041,PRE: For whom does R intend to vote for U.S. House (ballot card)
74,V161042,PRE: For whom does R intend to vote for U.S. House (no ballot cd)
75,V161043,PRE: Does R prefer U.S. House candidate
76,V161044,PRE: Whom does R prefer for U.S. House (ballot card)
77,V161045x,PRE: Whom does R prefer for U.S. House (no ballot card)
78,V161046,PRE SUMMARY: Senate and Governor races
79,V161047,PRE: Did R vote for U.S. Senate
80,V161048,PRE: R's vote for U.S. Senate (ballot card)
81,V161049,PRE: R's vote for U.S. Senate (no ballot card)
82,V161050,PRE: Does R intend to vote for U.S. Senate
83,V161051,PRE: For whom does R intend to vote for U.S. Senate (ballot card)
84,V161052,PRE: For whom does R intend to vote for US. Senate (no ballot card)
85,V161053,PRE: Does R prefer U.S. Senate candidate
86,V161054,PRE: Whom does R prefer for U.S. Senate (ballot card)
87,V161055,PRE: Whom does R prefer for U.S. Senate (no ballot card)
88,V161056,PRE: Did R vote for governor
89,V161057,PRE: R's vote for governor(ballot card)
90,V161058,PRE: R's vote for governor (no ballot card)
91,V161059,PRE: Does R intend to vote for governor
92,V161060,PRE: For whom does R intend to vote for governor (ballot card)
93,V161061,PRE: For whom does R intend to vote for governor (no ballot card)
94,V161062,PRE: Does R prefer gubernatorial candidate
95,V161063,PRE: Whom does R prefer for governor (ballot card)
96,V161064x,PRE: Whom does R prefer for governor (no ballot card)
97,V161065x,PRE: SUMMARY - party of Pre-election Presidential vote/intent/preference
98,V161066x,PRE: SUMMARY - party of Pre-election U.S. House vote/intent/preference
99,V161067x,PRE: SUMMARY - party of Pre-election U.S. Senate vote/intent/preference
100,V161068,PRE: SUMMARY - party of Pre-election Gubernatorial vote/intent/preference
101,V161069,PRE: Is there anything R likes about Democratic Pres cand
102,V161070a,PRE: Text- What is it that R likes about Democratic Pres cand
103,V161071,PRE: Code- What is it that R likes about Democratic Pres cand
104,V161072,PRE: Is there anything R dislikes about Democratic Pres cand
105,V161073a,PRE: Text- What is it that R dislikes about Democratic Pres cand
106,V161074,PRE: Code- What is it that R dislikes about Democratic Pres cand
107,V161075,PRE: Is there anything R likes about Republican Pres cand
108,V161076a,PRE: Text- What is it that R likes about Republican Pres cand
109,V161077,PRE: Code- What is it that R likes about Republican Pres cand
110,V161078,PRE: Is there anything R dislikes about Republican Pres cand
111,V161079a,PRE: Text- What is it that R dislikes about Republican Pres cand
112,V161080,PRE: Code- What is it that R dislikes about Republican Pres cand
113,V161080a,PRE: Approval of Congress handling its job
114,V161080x,PRE: Strength appr disapprove Congress handling its job
115,V161081,PRE: SUMMARY - Approval/disapproval Congress handling job
116,V161082,PRE: Are things in the country on right track
117,V161082a,PRE: Approve or disapprove President handling job as Pres
118,V161082x,PRE: How much approve or disapp Pres handling job
119,V161083,PRE: SUMMARY - Approval/disapproval President handling job
120,V161083a,PRE: Approve or disapprove President handling economy
121,V161083x,PRE: How much approve or disapprove Pres handling economy
122,V161084,PRE: SUMMARY - Approval/disapproval President handling economy
123,V161084a,PRE: Approve or disapprove President handling foreign rel
124,V161084x,PRE: How much approve or disapprove Pres handling foreign rel
125,V161085,PRE: SUMMARY - Approval/disapproval President handling foreign rel
126,V161085a,PRE: Approve or disapprove President handling health care
127,V161085x,PRE: How much approve or disapprove Pres handling health care
128,V161086,PRE: SUMMARY - Approval/disapproval President handling health care
129,V161087,PRE: Feeling Thermometer: Democratic Presidential cand
130,V161088,PRE: Feeling Thermometer: Republican Presidential cand
131,V161089,PRE: Feeling Thermometer: Libertarian Presidential cand
132,V161090,PRE: Feeling Thermometer: Green Party Presidential cand
133,V161091,PRE: Feeling Thermometer: Democratic Vice-Pres cand
134,V161092,PRE: Feeling Thermometer: Republican Vice-Pres cand
135,V161093,PRE: Feeling Thermometer: Previous President
136,V161094,PRE: Feeling Thermometer: Bill Clinton
137,V161095,PRE: Feeling Thermometer: Libertarian Vice-Pres cand
138,V161096,PRE: Feeling Thermometer: Democratic Party
139,V161097,PRE: Feeling Thermometer: Republican Party
140,V161098,PRE: Is there anything R likes about Democratic Party
141,V161099a,PRE: Text- What does R like about Democratic party
142,V161100,PRE: Code- What does R like about Democratic party
143,V161101,PRE: Is there anything R dislikes about Democratic Party
144,V161102a,PRE: Text- What does R dislike about the Democratic party
145,V161103,PRE: Code- What does R dislike about the Democratic party
146,V161104,PRE: Is there anything R likes about Republican Party
147,V161105a,PRE: Text- What does R like about Republican party
148,V161106,PRE: Code- What does R like about Republican party
149,V161107,PRE: Is there anything R dislikes about Republican Party
150,V161108a,PRE: Text- What does R dislike about the Republican party
151,V161109,PRE: Code- What does R dislike about the Republican party
152,V161110,PRE: R living with how many family members
153,V161111,PRE: R how much better worse off than 1 year ago
154,V161112,PRE: R how much better worse off next year
155,V161113,PRE: Does R have health insurance
156,V161114a,PRE: Favor or oppose 2010 health care law
157,V161114b,PRE: Strength favor 2010 health care law
158,V161114x,PRE: Strength oppose 2010 health care law
159,V161115,PRE: Summary: favor/oppose 2010 health care law
160,V161116,PRE: Self-evaluation of R health
161,V161117,PRE: Affect for Democratic Pres cand: angry
162,V161118,PRE: Affect for Democratic Pres cand: hopeful
163,V161119,PRE: Affect for Democratic Pres cand: afraid
164,V161120,PRE: Affect for Democratic Pres cand: proud
165,V161121,PRE: Affect for Democratic Pres cand: disgusted
166,V161122,PRE: Affect for Republican Pres cand: angry
167,V161123,PRE: Affect for Republican Pres cand: hopeful
168,V161124,PRE: Affect for Republican Pres cand: afraid
169,V161125,PRE: Affect for Republican Pres cand: proud
170,V161126,PRE: Affect for Republican Pres cand: disgusted
171,V161127,PRE: 7pt scale Liberal conservative self-placement
172,V161128,PRE: If R had to choose liberal or conservative self-placemt
173,V161129,PRE: 7pt scale liberal conservative - Dem Pres cand
174,V161130,PRE: 7pt scale liberal conservative - Rep Pres cand
175,V161131,PRE: 7pt scale liberal conservative Dem party
176,V161132,PRE: 7pt scale liberal conservative Rep party
177,V161133,PRE: SUMMARY - PLACEMENT 1 or PLACEMENT 2
178,V161134a,PRE: PLACEMENT 1: How likely is it R will vote in Nov
179,V161134b,PRE: PLACEMENT1: Percent for Democratic Pres candidate
180,V161135a,PRE: PLACEMENT1: Percent for Republican Pres candidate
181,V161135b,PRE: PLACEMENT1: State percent for Democratic Pres candidate
182,V161136,PRE: PLACEMENT1: State percent for Republican Pres candidate
183,V161137,PRE: Party Control or split government
184,V161138a,PRE: Income gap today more or less than 20 years ago
185,V161138b,PRE: How much larger is income gap today
186,V161138x,PRE: How much smaller is income gap today
187,V161139,PRE: SUMMARY - larger/smaller income gap today
188,V161140,PRE: Current economy good or bad
189,V161140a,PRE: National economy better worse in last year
190,V161140x,PRE: How much national economy better worse in last year
191,V161141,PRE: SUMMARY - economy better/worse in last year
192,V161141a,PRE: Economy better or worse in next 12 months
193,V161141x,PRE: How much econ better worse next 12 months
194,V161142,PRE: SUMMARY - economy better/worse in next year
195,V161142a,PRE: Unemployment better or worse in last year
196,V161142x,PRE: How much unemployment better or worse in last year
197,V161143,PRE: SUMMARY: more/less unemployment in last year
198,V161144,PRE: More or less unemployment in next year
199,V161145,PRE: Which party better: handling nations economy
200,V161146,PRE: Care who wins Presidential Election revised version
201,V161147,PRE: Who does R think will be elected President
202,V161148,PRE: Will Pres race be a close or will (winner) win by a lot
203,V161149,PRE: Which Pres cand will carry state
204,V161150a,PRE: Will Pres race be close in state
205,V161150b,PRE: VERSION 1A placement- Does R consider voting a duty or choice
206,V161151a,PRE: VERSION 1B placement- Does R consider voting a choice or duty
207,V161151b,PRE: How strongly does R feel that voting is a duty
208,V161151x,PRE: How strongly does R feel that voting is a choice
209,V161152,PRE: SUMMARY - Voting as duty or choice
210,V161153,"PRE: During last year, U.S. position in world weaker str"
211,V161154,PRE: Country would be better off if we just stayed home
212,V161155,PRE: Force to solve international problems
213,V161155a,"PRE: Party ID: Does R think of self as Dem, Rep, Ind or what"
214,V161156,PRE: Party ID other specifys
215,V161157,PRE: Party Identification strong - Democrat Republican
216,V161158x,PRE: No Party Identification - closer to Dems or Reps
217,V161159,PRE: SUMMARY - Party ID
218,V161160,PRE: Pres Dem cand trait strong leadership
219,V161161,PRE: Pres Dem cand trait really cares
220,V161162,PRE: Pres Dem cand trait knowledgeable
221,V161163,PRE: Pres Dem cand trait honest
222,V161164,PRE: Pres Dem cand trait speaks mind
223,V161165,PRE: Pres Rep cand trait strong leadership
224,V161166,PRE: Pres Rep cand trait really cares
225,V161167,PRE: Pres Rep cand trait knowledgeable
226,V161168,PRE: Pres Rep cand trait honest
227,V161169,PRE: Pres Rep cand trait speaks mind
228,V161170,PRE: Pres Dem cand even-tempered
229,V161171,PRE: Pres Rep cand even-tempered
230,V161172,PRE: Prefer government official who compromises
231,V161173,PRE: How should party nominees be chosen
232,V161174,PRE: Rep and Dem adequate parties
233,V161175,PRE: Serious third party or independent Pres cand choice
234,V161176,PRE: Supreme Court nominee - legal qualifications
235,V161177,PRE: Supreme Court nominee - likely to vote on controversial issues
236,V161178,PRE: Senate vote on Supreme Court nominee by outgoing President
237,V161179,PRE: 7pt scale spending and Services self-placement
238,V161180,PRE: 7pt scale spending and Services Dem Presidential cand
239,V161181,PRE: 7pt scale spending and Services Rep Presidential cand
240,V161182,PRE: 7pt scale defense spending self-placement
241,V161183,PRE: 7pt scale defense spending Dem Pres cand
242,V161184,PRE: 7pt scale defense spending Rep Pres cand
243,V161185,PRE: 7pt scale govt-private medical insur scale: self-plmt
244,V161186,PRE: 7pt scale govt-private medical insur scale: Dem Pres cand
245,V161187,PRE: 7pt scale govt-private medical insur scale: Rep Pres cand
246,V161188,PRE: Should fed govt make it more difficult to buy a gun
247,V161189,PRE: Importance of gun access issue to R
248,V161190,PRE: 7pt scale guaranteed job-income scale: self-placement
249,V161191,PRE: 7pt scale guaranteed job-income scale: Dem Pres cand
250,V161192,PRE: 7pt scale guaranteed job-income scale: Rep Pres cand
251,V161193,PRE: U.S. government policy toward unauthorized immigrants
252,V161193a,PRE: Favor or oppose ending birthright citizenship
253,V161194x,PRE: Strength R favors or opposes ending birthright citizenship
254,V161195,PRE: SUMMARY - birthright citizenship
255,V161195a,PRE: Children brought illegally sent back
256,V161195x,PRE: Children brought illegally strength follow-up
257,V161196,PRE: SUMMARY - Children brought illegally
258,V161196a,PRE: Build a wall with Mexico
259,V161196x,PRE: Build a wall with Mexico strength follow-up
260,V161197,PRE: SUMMARY - Build wall with Mexico
261,V161198,PRE: How important to speak English in US
262,V161199,PRE: 7pt scale govt assistance to blacks scale: self-placemt
263,V161200,PRE: 7pt scale govt assistance to blacks scale: Dem Pres cand
264,V161201,PRE: 7pt scale govt assistance to blacks scale: Rep Pres cand
265,V161202,PRE: 7pt scale environment-jobs tradeoff self-placement
266,V161203,PRE: 7pt scale environment-jobs tradeoff Dem Pres cand
267,V161204,PRE: 7pt scale environment-jobs tradeoff Rep Pres cand
268,V161204a,PRE: Does R favor or oppose affirmative action in universities
269,V161204b,PRE: How much does R favor affirmative action in universities
270,V161204x,PRE: How much does R oppose affirmative action in universities
271,V161205,PRE: SUMMARY - Favor or oppose affirmative action in universities
272,V161206,PRE: Federal Budget Spending: Social Security
273,V161207,PRE: Federal Budget Spending: public schools
274,V161208,PRE: Federal Budget Spending: science and technology
275,V161209,PRE: Federal Budget Spending: dealing with crime
276,V161210,PRE: Federal Budget Spending: welfare programs
277,V161211,PRE: Federal Budget Spending: child care
278,V161212,PRE: Federal Budget Spending: aid to the poor
279,V161213,PRE: Federal Budget Spending: protecting the environment
280,V161213a,PRE: Sending troops to fight ISIS
281,V161213x,PRE: Sending troops to fight ISIS follow-up
282,V161214,PRE: SUMMARY - send troops to fight ISIS
283,V161214a,PRE: Should Syrian refugees be allowed to come to the U.S.
284,V161214x,PRE: Allow Syrian refugees strength
285,V161215,PRE: SUMMARY - Allow Syrian refugees
286,V161216,PRE: REV How often trust govt in Wash to do what is right
287,V161217,PRE: Govt run by a few big interests or for benefit of all
288,V161218,PRE: Does government waste much tax money
289,V161219,PRE: How many in government are corrupt
290,V161220,PRE: How often can people be trusted
291,V161221,PRE: Elections make govt pay attention
292,V161222,PRE: Is global warming happening or not
293,V161223,PRE: Anthropogenic climate change
294,V161224,PRE: Approve or disapprove fracking
295,V161224a,PRE: Govt action about rising temperatures
296,V161225x,PRE: Strength of position on govt action about rising temperatures
297,V161226,PRE: SUMMARY - Govt action about rising temperatures
298,V161226a,PRE: Require employers to offer paid leave to parents of new children
299,V161226x,PRE: Strength require employers to offer paid leave to parents of new children
300,V161227,PRE: SUMMARY - require employers to offer paid leave to new parents
301,V161227a,PRE: Services to same sex couples
302,V161227x,PRE: Services to same sex couples strength
303,V161228,PRE: SUMMARY - Services to same sex couples
304,V161228a,PRE: Transgender bathroom policy
305,V161228x,PRE: Transgender policy strength
306,V161229,PRE: SUMMARY - Transgender policy
307,V161229a,PRE: Should laws protect gays lesbians against job discrim
308,V161229x,PRE: How much fav opp laws protect gays lesbians job discrim
309,V161230,PRE: SUMMARY - Laws to protect gays and lesbians against job discrim
310,V161231,PRE: Should gay and lesbian couples be allowed to adopt
311,V161232,PRE: R position on gay marriage
312,V161233,PRE: STD Abortion: self-placement
313,V161233a,PRE: R favor oppose death penalty
314,V161233x,PRE: Strength R favors opposes death penalty
315,V161234,PRE: SUMMARY - Favor or oppose death penalty
316,V161235,PRE: U.S. more or less secure than when Pres took office
317,V161235a,PRE: Economy better since 2008
318,V161235x,PRE: Economy better/worse since 2008 strength
319,V161236,PRE: SUMMARY - Economy since 2008
320,V161237,PRE: Affect for Obama - angry
321,V161238,PRE: Affect for Obama - proud
322,V161239a,PRE: PLACEMENT 2: How likely is it that R will vote in Nov
323,V161239b,PRE: PLACEMENT 2: Percent for Democratic Pres candidate
324,V161240a,PRE: PLACEMENT 2: Percent for Republican Pres candidate
325,V161240b,PRE: PLACEMENT 2: State percent for Democratic Pres candidate
326,V161241,PRE: PLACEMENT 2: State percent for Republican Pres candidate
327,V161242,PRE: Is religion important part of R life
328,V161243,PRE: Religion provides guidance in day-to-day living
329,V161244,PRE: Is Bible word of God or men
330,V161245,PRE: Ever attend church or religious services
331,V161245a,PRE: Attend religious services how often
332,V161246,PRE: Attend church more often than once a week
333,V161247a,PRE: Ever think of self as part of church or denomination
334,V161247b,PRE: (Attends church) R subjective description own major religious group
335,V161248,PRE: (Nonattendance) R subjective description of own major religious group
336,V161249,PRE: R subjective description of own major relig denomination
337,V161250,PRE: R description of specific Baptist denomination
338,V161251,PRE: R description of specific indep. Baptist denomination
339,V161252,PRE: R description of specific Lutheran denomination
340,V161253,PRE: R description of specific Methodist denomination
341,V161254,PRE: R description of specific Presbyterian denomination
342,V161255,PRE: R description of specific Reformed denomination
343,V161256,PRE: R description of specific Brethren denomination
344,V161257,PRE: R description of specific Disciples denomination
345,V161258,PRE: R description of specific Church of Christ denomination
346,V161259,PRE: R description of specific Church of God denomination
347,V161260,PRE: R description of specific Holiness Pentecostal denomination (open-end)
348,V161261,PRE: R description of specific other denomination (open-end)
349,V161262a,PRE: Specific other denomination Christian
350,V161262b,PRE: (Attends) Specific Jewish denomination
351,V161263,PRE: (Nonattendance) Specific Jewish denomination
352,V161264x,PRE: Does Christian R consider self born again
353,V161265x,PRE: SUMMARY - Full religion summary
354,V161266a,PRE: SUMMARY - Major group religion summary
355,V161266b,PRE: Religious identification type: Fundamentalist
356,V161266c,PRE: Religious identification type: Charismatic/Pentecostal
357,V161266d,PRE: Religious identification type: Born again
358,V161266e,PRE: Religious identification type: Evangelical
359,V161266f,PRE: Religious identification type: Traditional
360,V161266g,PRE: Religious identification type: Mainline
361,V161266h,PRE: Religious identification type: Progressive
362,V161266j,PRE: Religious identification type: Non-traditional
363,V161266k,PRE: Religious identification type: Secular
364,V161266m,PRE: Religious identification type: Agnostic
365,V161266n,PRE: Religious identification type: Atheist
366,V161266p,PRE: Religious identification type: Spiritual but not religious
367,V161267,PRE: Religious identification type: None of the above
368,V161267a,PRE: Respondent age
369,V161267b,PRE: RESTRICTED- Birthdate: month of birth
370,V161267c,PRE: RESTRICTED- Birthdate: day of birth
371,V161267x,PRE: Birthdate: year of birth
372,V161268,PRE: SUMMARY - Respondent age group
373,V161269,PRE: R marital status
374,V161270,PRE: Domestic partnership status
375,V161271,PRE: Highest level of Education
376,V161272,PRE: R high school completion- diploma or GED
377,V161273,PRE: Spouse partner: Highest Level of Education
378,V161274a,PRE: Spouse high school completion- diploma or GED
379,V161274b,PRE: Previously served on active duty in armed forces
380,V161275x,PRE: RESTRICTED- Now serving on active duty in armed forces
381,V161276x,PRE: SUMMARY - R occupation status 2 digit
382,V161277,PRE: SUMMARY - R occupation status 1 digit
383,V161278,"PRE: Initial R employment status, start of occupation module"
384,V161279,PRE: Initial status Homemaker student: working now
385,V161280a,PRE: Initial status Homemaker student: job in last 6 mon
386,V161280b,PRE: RESTRICTED: Initial status retiree - month when retired
387,V161280c,PRE: RESTRICTED: Initial status retiree - day when retired
388,V161281,PRE: Initial status retiree - year when retired
389,V161282a,PRE: Initial status unemployed disabled: R ever work for pay
390,V161282b,PRE: Text- Past occupation (R ret dis unemp hmkr stud)
391,V161283a,PRE: Code- Past occupation (R ret dis unemp hmkr stud)
392,V161283b,PRE: Text- Past industry (R ret dis unemp hmkr stud)
393,V161284,PRE: Code- Past industry (R ret dis unemp hmkr stud)
394,V161285,PRE: Past self-empl status (R ret dis unemp hmkr stud)
395,V161286,PRE: Past occupation: govt work (R ret dis unemp hmkr stud)
396,V161287,PRE: Initial status unempl ret disabled: job in last 6 mo
397,V161288,PRE: Recent occupation: how many hours worked avg week
398,V161289,PRE: Initial status retired disabled: working now
399,V161290,PRE: Init status nonworkg ret dis unemp hmkr st: look for work
400,V161291a,PRE: Init status nonworkg ret dis unemp hmkr st: worry find job
401,V161291b,PRE: Working TLO now - occupation
402,V161292a,PRE: Code- Working TLO now - occupation
403,V161292b,PRE: Text- working or TLO industry of occupation
404,V161293,PRE: Code- working or TLO industry of occupation
405,V161294,PRE: Working TLO now - work for self
406,V161295,PRE: Working TLO now - work for govt
407,V161296,PRE: Working TLO now - how many hours R works
408,V161297,PRE: Working TLO now - hours works OK
409,V161298,PRE: Working TLO now: worry about losing job in near future
410,V161299,PRE: Working now: out of work or laid off in last 6 mos
411,V161300a,PRE: Working now: had reduction in work hrs or pay cut
412,V161300b,PRE: Working now - spouse/partner employment status
413,V161300c,PRE: Temporarily laid off - spouse/partner employment status
414,V161300d,PRE: Unemployed - spouse/partner employment status
415,V161300e,PRE: Retired - spouse/partner employment status
416,V161300f,PRE: Permanently disabled - spouse/partner employment status
417,V161300g,PRE: Homemaker - spouse/partner employment status
418,V161301a,PRE: Student - spouse/partner employment status
419,V161301b,PRE: Spouse partner placeholder redacted
420,V161302,PRE: Spouse partner placeholder code
421,V161303,PRE: Anyone in HH belong to labor union
422,V161304,PRE: Who in HH belongs to labor union
423,V161305a,PRE: Think of self as belonging to class
424,V161305b,PRE: Social Class: working or middle
425,V161306,PRE: Social Class: had to choose working middle
426,V161307,PRE: Social class: average or upper working middle class
427,V161307a,PRE: Social class (2-question version)
428,V161308x,PRE: EGSS social class if middle class
429,V161309,PRE: SUMMARY - R self-identified social class
430,V161310a,"PRE: R: Are you Spanish, Hispanic, or Latino"
431,V161310b,PRE: R self-identified race - White mentioned
432,V161310c,PRE: R self-identified race -Black/African-American mentioned
433,V161310d,PRE: R self-identified race - American Indian/Alaska Native mentioned
434,V161310e,PRE: R self-identified race - Asian mentioned
435,V161310f,PRE: R self-identified race - Native Hawaiian/Other Pacific Islander mentioned
436,V161310g,PRE: R self-identified race - other mention
437,V161310x,PRE: R race other mention type
438,V161311,PRE: SUMMARY - R self-identified race
439,V161312a,PRE: RESTRICTED Text- R self-identified ethnic group(s) other than American
440,V161313,PRE: RESTRICTED Codes - R self-identified ethnic group(s) other than American
441,V161314,PRE: FTF ONLY: IWR CHECKPOINT: number of ethnic mentions
442,V161314a,PRE: RESTRICTED - R ethnic group identifies with most
443,V161315,PRE: RESTRICTED Code - ethic group most identify with
444,V161316,PRE: Native status of parents
445,V161317,"PRE: Rs: born U.S., Puerto Rico, or some other country"
446,V161318,PRE: How many grandparents born outside the U.S.
447,V161319,PRE: RESTRICTED - Hispanic country/countries of origin
448,V161319x,PRE: LATINO Rs: RESTRICTED- most family from which country
449,V161320,PRE: SUMMARY - Hispanic summary
450,V161321,PRE: Latino Rs: Mexican heritage:
451,V161321a,PRE: RESTRICTED- NON-US BORN Rs: When did R arrive in U.S.
452,V161322,PRE: NON-US BORN Rs: Time period when R arrived in U.S.
453,V161322a,PRE: RESTRICTED- NON-US BORN Rs: In what year did R become a U.S. citizen
454,V161323,PRE: NON-US BORN Rs: Time period when R became U.S. citizen
455,V161324,PRE: LATINO Rs: language at home
456,V161325a,PRE: How many children in HH age 0-17
457,V161325b,PRE: School enrollment of HH children- public school
458,V161325c,PRE: School enrollment of HH children- private religious school
459,V161325d,PRE: School enrollment of HH children- private non-religious school
460,V161325e,PRE: School enrollment of HH children- home schooling
461,V161326,PRE: School enrollment of HH children- not enrolled in school
462,V161327,PRE: Internet use at home
463,V161328,PRE: Cell or Landline service
464,V161329,PRE: Does R personally have a cell phone
465,V161330,PRE: Is R's cell phone a smartphone
466,V161331a,PRE: Where R grew up
467,V161331b,PRE: How long lived in this community YRS
468,V161331x,PRE: How long lived in this community MONTHS
469,V161332,PRE: SUMMARY - Length in current community
470,V161333,PRE: RESTRICTED- (<24 tot mos in community) Zip Code of previous residence
471,V161334,PRE: RESTRICTED- City/state of previous residence
472,V161335,PRE: Home ownership
473,V161335a,PRE: Has R ever changed name
474,V161336,PRE: RESTRICTED- Year of most recent change
475,V161337,PRE: Has R ever used an alternate name
476,V161338,PRE: Years R lived at address
477,V161339,PRE: RESTRICTED- (<5 years at address) Where did R live five years ago
478,V161340,PRE: Does R have unexpired govt Drivers license
479,V161341,PRE: Does R have unexpired govt Passport
480,V161342,PRE: Does R have other govt ID
481,V161342a,PRE FTF CASI / WEB: R self-identified gender
482,V161343,PRE: RESTRICTED - Other gender follow-up
483,V161344,PRE FTF CASI/WEB: Roughing up protestors
484,V161345,PRE FTF CASI/WEB: Justified to use violence
485,V161346,PRE FTF CASI/WEB: Consider yourself a feminist
486,V161347,PRE FTF CASI/WEB: How well does feminist describe you
487,V161348,PRE FTF CASI/WEB: How important is being a feminist
488,V161349,PRE FTF CASI/WEB: How well does anti-feminist describe you
489,V161350,PRE FTF CASI/WEB: How important is being anti-feminist
490,V161351,PRE FTF CASI/WEB: Money invested in Stock Market
491,V161352,PRE FTF CASI/WEB: RESTRICTED- Total income amount
492,V161353,PRE FTF CASI/WEB: Income amt missing - ge or lt 40K
493,V161354,PRE FTF CASI/WEB: Income amt missing - ge or lt 20K
494,V161355,PRE FTF CASI/WEB: Income amt missing - categories lt 20K
495,V161356,PRE FTF CASI/WEB: Income amt missing - categories 20-40K
496,V161357,PRE FTF CASI/WEB: Income amt missing - ge or lt 70K
497,V161358,PRE FTF CASI/WEB: Income amt missing - categories 40-70K
498,V161359,PRE FTF CASI/WEB: Income amt missing - ge or lt 100K
499,V161360,PRE FTF CASI/WEB: Income amt missing - categories 70-100K
500,V161361x,PRE FTF CASI/WEB: Income amt missing - categories 100+K
501,V161362,PRE FTF CASI/WEB: Pre income summary
502,V161363a,PRE FTF CASI/WEB: Need to be more sensitive talking or people too easily offended
503,V161363b,PRE FTF CASI/WEB: Mention: Television news programs (morning or evening)
504,V161363c,PRE FTF CASI/WEB: Mention: Newspapers
505,V161363d,"PRE FTF CASI/WEB: Mention: Television talk shows, public affairs, or news analysis programs"
506,V161363e,"PRE FTF CASI/WEB: Mention: Internet sites, chat rooms, or blogs"
507,V161363f,PRE FTF CASI/WEB: Mention: Radio news or talk shows
508,V161364,PRE FTF CASI/WEB: Mention: Have not heard anything about the presidential campaign from any
509,V161365,PRE FTF CASI/WEB: Mention: TV PROG 20/20
510,V161366,PRE FTF CASI/WEB: Mention: TV PROG All In with Chris Hayes
511,V161367,PRE FTF CASI/WEB: Mention: TV PROG The Blacklist
512,V161368,PRE FTF CASI/WEB: Mention: TV PROG CBS Evening News with Scott Pelley
