2024 variables used 2x previous,2020,2016,2012,2008,1992,1984,1968,topic,,Questions
V242057b,,,,,,,,What is the state of registration (no determined elsewhere),??? I'm going to have to go in and find it again,
V242100a-k;V242101,V202114a-k;V202114z;V202115,V162070a-j;V162071,,,,,,Main reason R did not register to vote,,
V241524,,V161007,prmedia_useinet,,,,,Does R or anyone in household use the Internet at any location,"In 2024 it says ""any OTHER location"" as opposed to other questions that ask in ""any location"" ",
V241620,V201648,V161517,,,,,,How easy for R to access internet,,
V242151,V202172,V162111,,,,,,Thermometer for: transgender people,,
V242152,V202174,V162113,,,,,,Thermometer for: Black Lives Matter movement,,
V242519,V202487,V162317,,,,,,How likely that whites unable to find a job because employers hire minorities?,,
V242236,V202416,V162266,,,,,,CSES5: How much does R agree or disagree that ethnic minorities should adapt to [COUNTRY'S] way of life.,This question's wording is changed in 2024. Needed to be added to the continuity guide,
V242235,V202418,V162268,,,,,,CSES5: How much does R agree or disagree that immigrants are generally good for [COUNTRY'S] economy.,,
V242453,V202420,V162270,,,,,,How much does R agree or disagree that immigrants increase crime rates in the United States,,
V242208,V202220,V162221,,,,,,How important is it that more Hispanics be elected to political office?,,
V241509,V201555,V161317,,,,,,"How many of R's grandparents, if any, were born outside the U.S.A [asked of all Rs]",,
V241516,V201562,V162223,pohisp_uselang,,,,,Does R generally speak: listed levels of English vs Spanish,2024 and 2020 need to be updated on the continuity guide. Double check if in other years as well,
V241424,V201437,V161248,,,,,,"With what religion, church or denomination does R identify self",,
V242337,V202352,V161307; V162132,,,,,,How would R describe his/her social class,,
V242338,V202353,V161307a; V162133,,,,,,"Would R consider self lower, middle, or upper part of the middle class",,
V241521,V201567,V161324,,,,,,How many children live in the household age 0-17,,
V241470,V201516,V161274a; V161274b,,,,,,"Is R now serving on active duty, or has R served, or has R never served in the U.S. Armed Forces?",,
V242506,V202456,V162297,,,,,,"Past 12 months, R/family member stopped/questioned by police",,
V242507,V202457,V162298,,,,,,R ever been arrested,,
V242549,V202527,V162357,discrim_blacks,,,,,How much discrimination is there in the United States today against each of the following groups: Blacks,,
V242550,V202528,V162358,discrim_hispanics,,,,,Hispanics,,
V242552,V202530,V162360,discrim_whites,,,,,Whites,,
V242553,V202533,V162361,discrim_gays,,,,,Gays and Lesbians,,
V242554,V202534,V162362,discrim_women,,,,,Women ,,
V241367; V241368,V201403; V201404,V161226; V161226a,,,,,,Favor/oppose paid parental leave,,
V242243; V242244,,V161204a; V161204b,aa_unifav; aa_uniopp,,,,,How much does R favor/oppose allowing universities to increase the number of black students by considering race along with other factors when choosing students,,
