var_name,summary,question,valid_labels,missing_labels
V081118g,HHList.18g. RESTRICTED:ELIG PERSON #8: relnship to informant,Household listing eligible person #8: relationship to informant,"1. Informant
2. Spouse/partner
3. Relative
4. Non-relative","-1. INAP, no additional eligible person
-4. NA (blank recorded)
-9. Refused"
V081119,HHList.19. HOUSEHOLD LISTING COMPLETED: date MMDD2008,SCREENER COMPLETED: date,,
V081120,HHList.20. HOUSEHOLD LISTING COMPLETED: interviewer ID,SCREENER COMPLETED: interviewer ID,,
V081201a,Sample.1a. State Postal abbreviation,STATE POSTAL ABBREVIATION,,
V081201b,Sample.1b. State FIPS code,STATE FIPS CODE,"01.  Alabama
02.  Alaska
04.  Arizona
05.  Arkansas
06.  California
08.  Colorado
09.  Connecticut
10.  Delaware
11.  District of Columbia
12.  Florida
13.  Georgia
15.  Hawaii
16.  Idaho
17.  Illinois
18.  Indiana
19.  Iowa
20.  Kansas
21.  Kentucky
22.  Louisiana
23.  Maine
24.  Maryland
25.  Massachusetts
26.  Michigan
27.  Minnesota
28.  Mississippi
29.  Missouri
30.  Montana
31.  Nebraska
32.  Nevada
33.  New Hampshire
34.  New Jersey
35.  New Mexico
36.  New York
37.  North Carolina
38.  North Dakota
39.  Ohio
40.  Oklahoma
41.  Oregon
42.  Pennsylvania
44.  Rhode Island
45.  South Carolina
46.  South Dakota
47.  Tennessee
48.  Texas
49.  Utah
50.  Vermont
51.  Virginia
53.  Washington
54.  West Virginia
55.  Wisconsin
56.  Wyoming",
V081202a,Sample.2a. Postal abbrev and Congr district number,STATE AND CONGRESSIONAL DISTRICT,,
V081202b,Sample.2b. Congressional district number,CONGRESSIONAL DISTRICT NUMBER,,
V081203a,Sample.3a. Corrected state Postal abbr-Congr district number,CORRECTED STATE AND CONGRESSIONAL DISTRICT,,
V081203b,Sample.3b. Corrected Congressional district number,CORRECTED CONGRESSIONAL DISTRICT NUMBER,,-2. No Post-election IW
V081204,Sample.4. Census Region,Census Region,"1. Northeast (CT,ME,MA,NH,NJ,NY,PA,RI,VT)
2. North Central (IL,IN,IA,KS,MI,MN,MO,NE,ND,OH,SD,WI)
3. South (AL,AR,DE,DC,FL,GA,KY,LA,MD,MS,NC,OK,SC,TN,TX,VA,WV)
4. West (AK,AZ,CA,CO,HI,ID,MT,NM,NV,OR,UT,WA,WY)",
V081205,Sample.5. RESTRICTED: Primary area number,Primary Area Number (PSU),,
V081206,Sample.6. RESTRICTED: Stratum (stage 1),Stratum (stage 1),,
V081207,Sample.7. RESTRICTED: FIPS state-county code,FIPS state-county code,,
V081207a,Sample.7a. RESTRICTED: FIPS state-county name,FIPS state-county name,,
V081208,Sample.8. RESTRICTED: CBG (2000),Census CBG,,
V081209,Sample.9. RESTRICTED: Census Tract 2000,Census Tract,,
V081210,Sample.10. RESTRICTED: Census Place 2000,Census Place code (2000),,
V081210a,Sample.10a. RESTRICTED: Census Place 2000 name,Census Place (2000) name,,
V081211,Sample.11. RESTRICTED: MCD 2000,Census Minor Civil Division (MCD 2000) code,,
V081211a,Sample.11a. RESTRICTED: MCD 2000 name,Census Minor Civil Division (MCD 2000) name,,
V081212,Sample.12. RESTRICTED: MSA 1990,MSA 1990 code (Metropolitan Statistical Area),,
V081212a,Sample.12a. RESTRICTED: MSA 1990 name,MSA 1990 name (Metropolitan Statistical Area),,
V081213,Sample.13. RESTRICTED: NECMA 2000,Census 2000 NECMA code,,
V081213a,Sample.13a. RESTRICTED: NECMA 2000 name,Census 2000 NECMA name,,
V081214a,Sample.14a. RESTRICTED: Latitude,Latitude of respondent location,,
V081214b,Sample.14b. RESTRICTED: Longitude,Longitude of respondent location,,
V081215,Sample.15. RESTRICTED: Census Urban/Rural code (2000),Census (2000) Urban/Rural code,,
V082001a,PreAdmin.1a. Beginning Date of Pre-election IW: month,Beginning Date of Pre-election IW: month,"09. September
10. October
11. November",-4. NA (missing)
V082001b,PreAdmin.1b. Beginning Date of Pre-election IW: day,Beginning Date of Pre-election IW: day,,-4. NA (missing)
V082001c,PreAdmin.1c. Beginning Date of Pre-election IW: date MMDD,Beginning Date of Pre-election IW: date,,
V082002a,PreAdmin.2a. Ending Date of Pre-election IW: month,Ending Date of Pre-election IW: month,"09. September
10. October
11. November",-4. NA (missing)
V082002b,PreAdmin.2b. Ending Date of Pre-election IW: day,Ending Date of Pre-election IW: day,,-4. NA (missing)
V082002c,PreAdmin.2c. Ending Date of Pre-election IW: date MMDD,Ending Date of Pre-election IW: date,,
V082003a,PreAdmin.3a. No. days til election: Pre-election IW beg date,Number of days before election: Pre-election IW beginning date,,-4. NA (missing)
V082003b,PreAdmin.3b. No. days til election: Pre-election IW end date,Number of days before election: Pre-election IW ending date,,-4. NA (missing)
V082004,PreAdmin.4. Total no. IW sessions: Pre-election IW,Total number of interview sessions: Pre-election IW,"1. One IW session
2. Two IW sessions
3. Three IW sessions
4. Four IW sessions
5. Five IW sessions",-4. NA (missing)
V082005,PreAdmin.5. Total no. interviewers: Pre-election IW,Total number of interviewers: Pre-election,"1. One total Pre-election IWRs
2. Two total Pre-election IWRs
3. Three total Pre-election IWRs
4. Four total Pre-election IWRs
5. Five total Pre-election IWRs",-4. NA (missing)
V082006,PreAdmin.6. Version: Pre-election IW,Version of survey instrument: Pre-election,"70. Version
71. Version
72. Version
74. Version",
V082007,PreAdmin.7. Total no. calls: Pre-election,Total number of calls: Pre-election,,-4. NA (missing)
V082008,PreAdmin.8. Interviewer IW number: Pre-election IW (nth IW),Interviewer interview number: Pre-election IW,,-4. NA (missing)
V082009,PreAdmin.9. Mode of interview: Pre-election IW,Mode of interview: Pre-election IW,1. Face-to-face IW,
V082010,PreAdmin.10. Length of interview: Pre-election IW,Length of interview: Pre-election IW,,-4. NA (missing)
V082011,PreAdmin.11. Language of interview: Pre-election IW,Language of interview: Pre-election IW,"1. English
2. Spanish
3. Both English and Spanish",
V082012a,PreAdmin.12a. Interview verification: Pre-election IW,Verification: Pre-election IW,"0. Not a verified case
1. Verified case",
V082012b,PreAdmin.12b. Interview evaluation: Pre-election IW,Evaluation: Pre-election IW,,"-1. INAP, not applicable to the"
V082013,PreAdmin.13. Sample release (Pre-election),Sample Release (Pre-election),"1. Main sample release at start of interviewing period
2. Reserve release on October",
V082014,PreAdmin.14. Interview recorded: Pre-election IW,Interview recorded: Pre-election IW,"1. Yes, interview recorded (consent given)
5. No, not recorded (consent not given)",
V082015,PreAdmin.15. Respondent payment amount: Pre-election IW,Payment amount made: Pre-election IW,,-9. Respondent refused payment
V082016,PreAdmin.16. Respondent payment mode: Pre-election IW,Payment mode: Pre-election IW,1. All payments were made in cash upon completion of the Pre-,
V082017a,PreAdmin.17a. Refusal made: Pre-election IW,Refusal made: Pre-election IW,0. No refusal,
V082017b,PreAdmin.17b. Refusal conversion: Pre-election IW,Refusal conversion: Pre-election IW,,"-1. INAP, not applicable to the Pre-election IW"
V082018,PreAdmin.18. Respondent incentive: Pre-election IW,Respondent incentive: Pre-election IW,0. No incentive was paid or given to the respondent in addition,
V082019,PreAdmin.19. Respondent payment date: Pre-election,Payment date: Pre-election interview,,
V082020,PreAdmin.20. Persuasion letter: Pre-election IW,Persuasion letter: Pre-election IW,,"-1. INAP, not applicable to the Pre-election IW"
V082021a,PreAdmin.21a. COMMENT:SUMMARY: positive comment,"PRE-ELECTION INTERVIEWER:
Person did not have to use these exact words, but did the
informant/respondent make any of the following POSTIVE comments?
  - 'I like to do things that HELP THE COMMUNITY'
  - 'I ENJOY DOING SURVEYS'
  - Other positive statement","0. No positive comment indicated in PreAdmin.22a-PreAdmin.22c
1. One positive comment indicated in PreAdmin.22a-PreAdmin.22c
2. Two positive comments indicated in PreAdmin.22a-PreAdmin.22c
3. Three positive comments indicated in PreAdmin.22a-PreAdmin.22c",-4. Missing (missing PreAdmin.22a-PreAdmin.22c)
V082021b,PreAdmin.21b. COMMENT:SUMMARY: time-delay comment,"PRE-ELECTION INTERVIEWER:
Person did not have to use these exact words, but did the
in-formant/respondent make any of the following TIME DELAY comments?
  - 'I am TOO BUSY/ I don't have time'
  - 'This is a BAD TIME / Can you COME BACK LATER'
  - 'Let me THINK ABOUT IT'
  - Other time delay statement","0. No time-delay comment indicated in PreAdmin.22d-PreAdmin.22g
1. One time-delay comment indicated in PreAdmin.22d-PreAdmin.22g
2. Two time-delay comments indicated in PreAdmin.22d-PreAdmin.22g
3. Three time-delay comments indicated in PreAdmin.22d-PreAdmin.22g
4. Four time-delay comments indicated in PreAdmin.22d-PreAdmin.22g",-4. Missing (missing PreAdmin.22d-PreAdmin.22g)
