var_name,description,question,valid_labels,missing_labels
interest_whovote2008_oth,PRE: OtherSpecify- Recall of last (2008) Presidentialvote choice,,,"-2. Textresponses available in separatefile
-2. Textresponses available in separatefile
"
prmedia_useinet,HH Internetuse,Do youor anyone in this household usethe Internet at any location?,"1. Yes
2. No
1. Yes
2. No
","-1. Inapplicable
-8. Don't know
-1. Inapplicable
-8. Don't know
"
prmedia_wkinews,Days intypical week review news on internet,"Duringatypicalweek,howmanydaysdoyouwatch,read,orlistentonews on theInternet, not including sports?","0. None
1. One day
2. Twodays
3. Three days
4. Four days
5. Five days
6. Six days
7. Sevendays
","-1. Inapplicable
-4. Error
-8. Don'tknow
-9. Refused
"
Percentages,,,,
prmedia_atinews,Attention tointernet news,"How much attention do you pay to news about national politics on the In- ternet? [A GREAT DEAL, A LOT, A MODERATE AMOUNT, A LITTLE, or NONEATALL/NONEATALL,ALITTLE,AMODERATEAMOUNT,ALOT, or AGREATDEAL]?","1. Agreat deal
2. A lot
3. A moderate amount
4. Alittle
5. None at all
1. A greatdeal
2. A lot
3. A moderate amount
4. A little
5. None at all
","-1. Inapplicable
-1. Inapplicable
"
prmedia_wktvnws,Days intypical week watch news on TV,"During a typical week, how many days do you watch national news on TV, not includingsports?","0. None
1. One day
2. Twodays
3. Three days
4. Four days
5. Five days
6. Six days
7. Seven days
","-4. Error
-8. Don't know
-9. Refused
"
prmedia_attvnews,Attention toTV news,"How much attention do you pay to news about national politics on TV? [A GREAT DEAL, A LOT, A MODERATE AMOUNT, A LITTLE, or NONE AT ALL / NONE AT ALL, A LITTLE, A MODERATE AMOUNT, A LOT, or A GREATDEAL]?","1. A great deal
2. A lot
3. A moderateamount
4. A little
5. None at all
1. A greatdeal
2. A lot
3. A moderate amount
4. A little
5. None at all
","-1. Inapplicable
-8. Don't know
-9. Refused
-1. Inapplicable
-8. Don't know
-9. Refused
"
prmedia_wkpaprnws,Days intypical wk read news in printnewspaper,"Duringatypicalweek,howmanydaysdoyoureadnewsinaprintednews- paper,not including sports?","0. None
1. One day
2. Twodays
3. Three days
4. Four days
5. Five days
6. Six days
7. Seven days
0. None
1. One day
2. Twodays
3. Threedays
4. Four days
5. Fivedays
6. Six days
7. Seven days
","-4. Error
-8. Don't know
-9. Refused
-4. Error
-8. Don't know
-9. Refused
"
prmedia_atpprnews,Attention toprinted newspaper news,"How much attention do you pay to news about national politics in printed newspapers? [AGREATDEAL,ALOT,AMODERATEAMOUNT,ALITTLE, or NONE AT ALL / NONE AT ALL, A LITTLE, A MODERATE AMOUNT, A LOT,or AGREATDEAL]?","1. Agreat deal
2. A lot
3. A moderate amount
4. Alittle
5. None at all
1. A greatdeal
2. A lot
3. A moderate amount
4. A little
5. None at all
","-1. Inapplicable
-1. Inapplicable
"
prmedia_wkrdnws,Days intypical week listen news on radio,"During a typical week, how many days do you listen to news on the radio, not includingsports?","0. None
1. One day
2. Twodays
3. Three days
4. Four days
5. Five days
6. Six days
7. Seven days
","-4. Error
-8. Don't know
-9. Refused
"
prmedia_atrdnews,Attention toradio news,"Howmuchattentiondoyoupaytonewsaboutnationalpoliticsontheradio? [A GREAT DEAL, A LOT, A MODERATE AMOUNT, A LITTLE, or NONE AT ALL / NONE AT ALL, A LITTLE, A MODERATE AMOUNT, A LOT, or A GREATDEAL]?","1. Agreat deal
2. A lot
3. A moderate amount
4. Alittle
5. None at all
","-1. Inapplicable
-4. Error
-9. Refused
"
prevote_regist_addr,PRE: Rregistered to vote (pre-election)- sample address,,"1. Registered at this address
2. Registered at a differentaddress
3. Not currentlyregistered
1. Registered at this address
2. Registered at a differentaddress
3. Not currently registered
","-1. Inapplicable
-8. Don't know
-9. Refused
-1. Inapplicable
-8. Don't know
-9. Refused
"
prevote_regist_noaddr,PRE: WEBONLY:R registered tovote (pre-election)- no sample address,,"1. Registered to vote
2. Not currently registered
1. Registered to vote
2. Not currently registered
","-1. Inapplicable
-1. Inapplicable
"
prevote_reg,RESTRICTED: OtherRegistration location - add1 etc,What isthe address where you are registeredto vote now?,"0. Cityand state not identified in registration
1. City and stateidentified in correct fields
2. City and state identifiable;some recording of
","-1. Inapplicable
-2. Missing: R entered DK/RF fordifferentaddress
"
prevote_reg_recordstate,PRE: FTFONLY:Oth Registr. location - staterecorded in correct field,,"0. Neither state nor city identifiedin registration
1. Stateof registration recorded in correct (state)
2. State of registration not recordedin correct field;
3. State of registration not recordedin correct field;
0. Neither state norcity
1. State of registration
2. State ofregistration not
3. State ofregistration not
","-1. Inapplicable
-2. Missing: R entered DK/RF fordifferentaddress
-1. Inapplicable
-2. Missing: RenteredDK/RF
"
prevote_reg_recordcity,PRE: FTFONLY:Oth Registr. location - cityrecorded in correct field,,"0. Neither state nor city identifiedin registration
1. Cityof registration recorded in correct (city)field
2. City of registrationnot recorded in correct field
0. Neither state norcity
1. City of registration
2. City of registration not
","-1. Inapplicable
-2. Missing: R entered DK/RF fordifferentaddress
-1. Inapplicable
-2. Missing: RenteredDK/RF
"
prevote_reg_state,PRE: FTFONLY:Other Registr. location - stateof registr. (FIPSCODE),,"06. California
48. Texas
22. Louisiana
12. Florida
36. NewYork
17. Illinois
37. NorthCarolina
45. South Carolina
13. Georgia
","-1. Inapplicable
"
prevote_reg_samestate,PRE: FTFONLY:Oth Reg. location - state sameas hsehold's state (Y/N),,"0. Not same state as state ofresidence
1. Same state asstate of residence
0. Not same stateas state of residence
1. Samestate as state of residence
","-1. Inapplicable
-1. Inapplicable
"
prevote_regincnty,Is Rregistered to vote in preload county(resid),Is thataddress in [preload: hhcounty]?,"1. Yes,registered in<preload: hhcounty>
2. No, registered in other county
6. Answered yes, regin county; other state for
","-1. Inapplicable
-8. Don't know
"
prevote_regyrs3cat,PRE: Howlong has R been registered atlocation (collapsed),,"3. Morethan
3. More than
","-1. Inapplicable
-8. Don't know
-9. Refused
-1. Inapplicable
-8. Don't know
-9. Refused
"
prevote_regyrsfull,PRE: RESTRICTED:How long has R been registeredat location (full),,,"-3. Restricted access
-3. Restricted access
"
prevote_regname,RESTRICTED: nameunder which R registered to vote,Some people register to vote under their full name and others use different versions of their name. Others might have changed their name since they registered. Whataboutyou? Underwhatnameareyouregisteredtovote?,"0. FTF: no text in name field;Web: name not
1. text in name field
0. FTF:no text in name field;
1. text in name field
","-1. Inapplicable
-1. Inapplicable
"
prevote_regpty_state,PRE: Doesrecorded state of registration have partyregistration,,"0. Notnot registered in state in withparty
1. Registered in statewith party registration
0. Not not registered in state
1. Registered in state with
","-1. Inapplicable
-1. Inapplicable
"
prevote_regpty,Party ofregistration,"What politicalparty are you registered with, ifany?","1. Democraticparty
2. Republicanparty
4. Noneor 'independent'
5. Other (SPECIFY)
","-1. Inapplicable
-8. Don'tknow
-9. Refused
"
prevote_regpty_oth,PRE: RESTRICTED:Other specify- Party of registration,,,"-3. Restricted access
-3. Restricted access
"
prevote_regint,Does Rintend to register to vote,"DoyouintendtoregistertovotebeforetheNovember6elections,ordoyou not intendto register?","1. Yes,intendto register
2. No,do not intend to register
1. Yes,intend toregister
2. No,do not intend to register
","-1. Inapplicable
-8. Don'tknow
-9. Refused
-1. Inapplicable
-8. Don't know
-9. Refused
"
prevote_primv,Did Rvote in the Presidential primary orcaucus,Did youvote in a Presidential primary electionor caucus this year?,"1. Yes,voted in primary orcaucus
2. No, didn't votein primary or caucus
1. Yes,voted in primary orcaucus
2. No, didn't votein primary or caucus
","-8. Don't know
-9. Refused
-8. Don't know
-9. Refused
"
prevote_primvwho,For whichcandidate did R vote in Presidentialprim,"Lookingatpage[preload: prepg_q]inthebookletInthePresidentialprimary or caucus,who did you vote for?","01. Mitt romney
02. Barackobama
03. Rick santorum
04. Newtgingrich
05. Ronpaul
06. Rick perry
07. Michele bachmann
08. Jonhuntsman
09. Herman cain
95. Someone else(SPECIFY)
","-1. Inapplicable
-8. Don't know
-9. Refused
"
prevote_primvwho_oth,PRE: Othspecify- For which candidate did Rvote in Presidential prim,,,"-2. Textresponses available in separatefile
-2. Textresponses available in separatefile
"
prevote_voted,Already votedin General Election,"This question is not about the primary elections and caucuses that were held a few months ago. Instead, we'd like to ask you about the election for President to be held on November 6, in which [preload: rep_pcname] is running against [preload: dem_pcname]. Have you already voted in that election, orhave you not voted?","1. Havevoted
2. Have not voted
1. Havevoted
2. Have not voted
","-1. Inapplicable
-9. Refused
-1. Inapplicable
-9. Refused
"
prevote_vconf,Confirmation voted(early) in November 6 election,"Just to be clear, I'm recording that you already voted in the election that is scheduled totake place on November 6. Is that right?","1. Yes,voted
2. No, have not voted
1. Yes,voted
2. No, have not voted
","-1. Inapplicable
-1. Inapplicable
"
prevote_howvote,In whatmanner did R vote,Whichoneofthefollowingbestdescribeshowyouvoted? -Definitelyvoted inpersonatapollingplacebeforeelectionday-Definitelyvotedbymailing a ballot to elections officials before election day - Definitely voted in some other way- Not completely sure whether youvoted or not,"1. Definitely voted inperson at a polling place
2. Definitely votedby mailing a ballot to elections
3. Definitely voted insome other way
4. Not completely sure whetheryou voted or not
","-1. Inapplicable
-9. Refused
"
prevote_ckbcard,FTF ONLY:IWR CHECKPOINT:have correct Preballot card,CONGRESSIONALDISTRICTIS:[preload: hhstate][preload: hhdist]. AS- SIGNED BALLOT COLOR IS: [var: ballotcolor]. PLEASE DESCRIBE WHETHER YOU HAVE THE CORRECT BALLOT CARD FOR THE RE- SPONDENT:,"1. Yes,have <blue/pink> color ballot cardfor r's
2. Have ballotcard in wrong color for r'sdistrict
3. Only have card(s) for wrongdistrict or have no
4. Webonly: card for wrong district/ no Housecard
","-1. Inapplicable
"
prevote_ballot_color,PRE: FTFONLY:Assigned color forBallot Card (if displayed),,"1. Blue
2. Pink
1. Blue
2. Pink
","-1. Inapplicable
-1. Inapplicable
"
prevote_presvt,Did Rvote for President,How about the election for President? Did you vote for a candidate for PRESIDENT]?,"1. Yes,voted for President
2. No, didn't vote forPresident
1. Yes,voted for President
2. No, didn't vote for President
","-1. Inapplicable
-1. Inapplicable
"
prevote_presvtwho,For whomdid R vote for President,"Who did you vote for? [ [preload: dem_pcname], [preload:rep_pcname] / [preload: rep_pcname], [preload:dem_pcname] ], or someoneelse? Randomization: Order of namesin question text","5. Other candidate (SPECIFY)
","-1. Inapplicable
-9. Refused
"
prevote_presvtwho_oth,PRE: Otherspecify- For whom did R votefor President,,,"-2. Textresponses available in separatefile
-2. Textresponses available in separatefile
"
prevote_presstr,Preference strongfor Pres cand for whom Rvoted,Wouldyou say your preference for this candidatewas strong or not stong?,"1. Strong
2. Not strong
1. Strong
2. Not strong
","-1. Inapplicable
-8. Don't know
-1. Inapplicable
-8. Don't know
"
prevote_vtpresdec,How longbefore election R made decision Presvote,How long before you voted did you decide that you were going to vote the way youdid?,,"-2. Textresponses available in separatefile
-2. Textresponses available in separatefile
"
prevote_vtpresdec_dkrf,PRE: FTFONLY:Hw lng befelct R made decsn Pres vt: DK/RF selected,,"1. FTF: codeDK selected in place of open-end
2. FTF: code RF selectedin place of open-end
1. FTF: code DK selectedin
2. FTF: code RF selected in
","-1. Inapplicable
-1. Inapplicable
"
prevote_intpres,Does Rintend to vote for President,HowabouttheelectionforPresident? Doyouintendtovoteforacandidate for PRESIDENT?,"1. Yes
2. No
1. Yes
2. No
","-1. Inapplicable
-8. Don't know
-9. Refused
-1. Inapplicable
-8. Don't know
-9. Refused
"
prevote_intpreswho,For whomdoes R intend to vote forPresident,"Who do you think you will vote for? [ [preload: dem_pcname], [preload:rep_pcname] / [preload: rep_pcname], [preload:dem_pcname] ], or someoneelse?","5. Other candidate(SPECIFY)
","-1. Inapplicable
-8. Don't know
-9. Refused
"
prevote_intpreswho_oth,PRE: Otherspecify- For whom does R intendto vote for President,,,"-2. Textresponses available in separatefile
-2. Textresponses available in separatefile
"
prevote_intpresst,Pref strngfor Pres cand for whom Rintends to vote,Would you say your preference for this candidate is STRONG or NOT STRONG?,"1. Strong
2. Not strong
1. Strong
2. Not strong
","-1. Inapplicable
-8. Don't know
-9. Refused
-1. Inapplicable
-8. Don't know
-9. Refused
"
prevote_prefpres,Does Rprefer Pres cand (no intent toregister),How about the election for President? Do you prefer one of the candidates for PRESIDENT?,"1. Yes
2. No
1. Yes
2. No
","-1. Inapplicable
-8. Don't know
-9. Refused
-1. Inapplicable
-8. Don't know
-9. Refused
"
prevote_prefprwho,Preference forPres cand (no intent to register),"Who do you prefer? [ [preload: dem_pcname], [preload:rep_pcname] / [preload: rep_pcname], [preload:dem_pcname] ], or someoneelse?","5. Other candidate (SPECIFY)
5. Other candidate (SPECIFY)
","-1. Inapplicable
-8. Don't know
-9. Refused
-1. Inapplicable
-8. Don't know
-9. Refused
"
prevote_prefprwho_oth,PRE: Otherspecify- Preference for Pres cand (nointent to register),,,"-2. Textresponses available in separatefile
-2. Textresponses available in separatefile
"
prevote_prefprstr,Preference strongfor Pres cand (no intent toreg),Would you say your preference for this candidate is STRONG or NOT STRONG?,"1. Strong
2. Not strong
1. Strong
2. Not strong
","-1. Inapplicable
-8. Don't know
-1. Inapplicable
-8. Don't know
"
prevote_votehs,Did Rvote for U.S. House of Representatives,[Here is a list of candidates for the major races in this district. How about the election for the House of Representatives in Washington. Did you vote foracandidatefortheU.S.HOUSEOFREPRESENTATIVES?/Howabout the election for the House of Representatives in Washington. Did you vote for acandidate for the U.S. HOUSE OFREPRESENTATIVES?],"1. Yes,voted for House of Representatives
2. No, didn't vote for Houseof Representatives
","-1. Inapplicable
-8. Don't know
-9. Refused
"
prevote_hsvtbc,For whomdid R vote for U.S. House(ballot card),Who didyou vote for?,"4. R vol: names on ballotcard are not correct
5. Other candidate (SPECIFY)
","-1. Inapplicable
-8. Don't know
-9. Refused
"
prevote_hsvtnobc,For whomdid R vote for U.S. House(no ballot card),Who didyou vote for? Whichparty was that?,"81. Democrat
82. Republican
87. Other-candidate not identified by major party
","-1. Inapplicable
-2. Missing
-8. Don'tknow
-9. Refused
"
prevote_inths,Does Rintend to vote for U.S. House,[Here is a list of candidates for the major races in this district. How about theelectionfortheHouseofRepresentativesinWashington. Doyouintend tovoteintheelectionfortheU.S.HOUSEOFREPRESENTATIVES?/How abouttheelectionfortheHouseofRepresentativesinWashington. Doyou intendtovoteintheelectionfortheU.S.HOUSEOFREPRESENTATIVES?],"1. Yes
2. No
","-1. Inapplicable
-8. Don't know
-9. Refused
"
prevote_inthsbc,For whomdoes R intend to vote forU.S. House (ballot card),Who doyou think you will vote for?,"4. Rvol: names on ballotcard are not correct
5. Other candidate(SPECIFY)
","-1. Inapplicable
-2. Missing
-8. Don't know
-9. Refused
"
prevote_inthsnobc,For whomdoes R intend to vote forU.S. House (no ballot cd),Who doyou think you will vote for? Which party is that?,"81. Democrat
82. Republican
87. Other-candidate not identified by major party
","-1. Inapplicable
-2. Missing
-8. Don'tknow
-9. Refused
"
prevote_hspref,Does Rprefer U.S. House candidate,[Here is a list of candidates for the major races in this district. How about theelectionfortheHouseofRepresentativesinWashington? Doyouprefer oneofthecandidatesfortheU.S.HOUSEOFREPRESENTATIVES?/How abouttheelectionfortheHouseofRepresentativesinWashington? Doyou preferoneofthecandidatesfortheU.S.HOUSEOFREPRESENTATIVES?],"1. Yes
2. No
","-1. Inapplicable
-8. Don't know
-9. Refused
"
prevote_hsprefbc,Whom doesR prefer for U.S. House (ballotcard),Who doyou prefer?,"4. R vol: names on ballotcard are not correct
5. Other candidate (SPECIFY)
","-1. Inapplicable
-8. Don't know
-9. Refused
"
prevote_hsprefnobc,Whom doesR prefer for U.S. House (noballot card),Who doyou prefer? Which partyis that?,"82. Republican
87. Other-candidate not identified by major party
82. Republican
87. Other- candidatenot identified by major party
","-1. Inapplicable
-1. Inapplicable
"
prevote_senhhstate,PRE: FTFONLY:Senate election instate of residence,,"0. NoSenate race in state of residence
1. Senate race in stateof residence
0. NoSenate race in state of residence
1. Senate race in stateofresidence
","-1. Inapplicable
-1. Inapplicable
"
prevote_senregstate,PRE: FTFONLY:Sen election instate of regist (R not registat resid),,"0. No Senaterace- state of registration recorded in
1. Senate race- state of registration recordedin
3. NoSenaterace-stateofregistrationnotrecorded
4. Senate race-state of registration not recorded in
0. No Senate race- state of
1. Senate race- stateof
3. No Senate race- state of
4. Senate race- stateof
","-1. Inapplicable
-2. Stateof registration asked, not recorded
-1. Inapplicable
-2. State of registration
"
prevote_votesen,Did Rvote for U.S. Senate,How about the election for the United States Senate ? Did you vote for a candidate forthe U.S. SENATE?,"1. Yes,voted for Senate
2. No, didn'tvote for Senate
","-1. Inapplicable
-8. Don't know
"
prevote_vtsenbc,R's votefor U.S. Senate (ballot card),Who didyou vote for?,"5. Other candidate (SPECIFY)
","-1. Inapplicable
-8. Don't know
-9. Refused
"
prevote_vtsennobc,R's votefor U.S. Senate (no ballot card),Who didyou vote for? Whichparty was that?,"81. Democrat
82. Republican
81. Democrat
82. Republican
","-1. Inapplicable
-8. Don't know
-9. Refused
-1. Inapplicable
-8. Don't know
-9. Refused
"
prevote_intsen,Does Rintend to vote for U.S. Senate,How about the election for the U.S. Senate. Do you intend to vote in the election forthe U.S. SENATE?,,
Unweighted Frequencies,,,,
prevote_intsenbc,For whomdoes R intend to vote forU.S. Senate (ballot card,Who doyou think you will vote for?,"5. Other candidate (SPECIFY)
","-1. Inapplicable
-8. Don't know
-9. Refused
"
prevote_intsennobc,For whomdoes R intend to vote forUS. Senate (no ballot cd),Who doyou think you will vote for? Which party is that?,"81. Democrat
82. Republican
81. Democrat
82. Republican
","-1. Inapplicable
-8. Don't know
-1. Inapplicable
-8. Don't know
"
prevote_senpref,Does Rprefer U.S. Senate candidate,HowabouttheelectionfortheUnitedStatesSenate? Doyoupreferoneof the candidatesfor the U.S. SENATE?,"1. Yes
2. No
","-1. Inapplicable
-8. Don't know
-9. Refused
"
prevote_senprefbc,Whom doesR prefer for U.S. Senate (ballotcard),Who doyou prefer?,"5. Other candidate (SPECIFY)
5. Other candidate (SPECIFY)
","-1. Inapplicable
-8. Don't know
-9. Refused
-1. Inapplicable
-8. Don't know
-9. Refused
"
prevote_senprefnobc,Whom doesR prefer for U.S. Senate (noballot card),Who doyou prefer? Which partyis that?,"81. Democrat
82. Republican
81. Democrat
82. Republican
","-1. Inapplicable
-8. Don't know
-1. Inapplicable
-8. Don't know
"
prevote_govhhstate,PRE: FTFONLY:Gubernatorial election instate of residence,,"0. No gubernatorial race in stateof residence
1. Gubernatorial race in stateof residence
0. No gubernatorial race in stateof residence
1. Gubernatorial race in stateof residence
","-1. Inapplicable
-1. Inapplicable
"
prevote_govregstate,PRE: FTFONLY:Gov election instate of regist (R not registat resid),,"0. No governor race-state of registration recorded
1. Governorrace- state of registration recorded in
3. No governor race- stateof registration not
0. No governor race- state of
1. Governor race- state of
3. No governor race- state of
","-1. Inapplicable
-2. Stateof registration asked, not recorded
-1. Inapplicable
-2. State of registration
"
prevote_votegov,Did Rvote for governor,How about the election for governor ? Did you vote for a candidate for GOVERNOR?,"1. Yes,voted for governor
2. No, didn'tvote for governor
","-1. Inapplicable
"
prevote_vtgovbc,R's votefor governor(ballot card),Who didyou vote for?,"5. Other candidate (SPECIFY)
5. Other candidate (SPECIFY)
","-1. Inapplicable
-9. Refused
-1. Inapplicable
-9. Refused
"
prevote_vtgovnobc,R's votefor governor (no ballot card),Who didyou vote for? Whichparty was that?,"82. Republican
82. Republican
","-1. Inapplicable
-1. Inapplicable
"
prevote_intgov,Does Rintend to vote for governor,How about the election for governor. Do you intend to vote for a candidate for GOVERNOR?,"1. Yes
2. No
","-1. Inapplicable
-2. Missing
-8. Don't know
-9. Refused
"
prevote_intgovbc,For whomdoes R intend to vote forgovernor (ballot card),Who doyou think you will vote for?,"5. Other candidate (SPECIFY)
5. Other candidate (SPECIFY)
","-1. Inapplicable
-8. Don't know
-9. Refused
-1. Inapplicable
-8. Don't know
-9. Refused
"
prevote_intgovnobc,For whomdoes R intend to vote forgovernor (no ballot cd),Who doyou think you will vote for? Which party is that?,"81. Democrat
82. Republican
81. Democrat
82. Republican
","-1. Inapplicable
-8. Don't know
-1. Inapplicable
-8. Don't know
"
prevote_govpref,Does Rprefer gubernatorial candidate,How about the election for governor? Do you prefer one of the candidates for GOVERNOR?,"1. Yes
2. No
","-1. Inapplicable
-8. Don't know
"
prevote_govprefbc,Whom doesR prefer for governor (ballot card),Who doyou prefer?,"5. Other candidate (SPECIFY)
5. Other candidate (SPECIFY)
","-1. Inapplicable
-9. Refused
-1. Inapplicable
-9. Refused
"
prevote_govprefnobc,Whom doesR prefer for governor (no ballotcard),Who doyou prefer? Which partyis that?,,"-1. Inapplicable
-9. Refused
-1. Inapplicable
-9. Refused
"
candlik_likedpc,Is thereanything R likes about Democratic Prescand,Is there anything in particular about [preload: DEM_PCNAME] that might make youwant to vote for him? Randomization: Order of Presidentialcandidates Logic: Randomize orderof Presidential candidates in Likes-Dislikes series,"1. Yes
2. No
1. Yes
2. No
","-8. Don't know
-9. Refused
-8. Don't know
-9. Refused
"
candlik_likewhatdpc,What isit that R likes about DemocraticPres cand,(What isthat?) Randomization: Order of Presidentialcandidates,,"-2. Textresponses available in separatefile
-2. Textresponses available in separatefile
"
candlik_disldpc,Is thereanything R dislikes about Democratic Prescand,Is there anything in particular about [preload: DEM_PCNAME] that might make youwant to vote AGAINST him? Randomization: Order of Presidentialcandidates,"1. Yes
2. No
1. Yes
2. No
","-8. Don'tknow
-9. Refused
-8. Don't know
-9. Refused
"
candlik_dislwhatdpc,What isit that R dislikes about DemocraticPres cand,(What isthat?) Randomization: Order of Presidentialcandidates,,"-2. Textresponses available in separatefile
-2. Textresponses available in separatefile
"
candlik_likerpc,Is thereanything R likes about Republican Prescand,Is there anything in particular about [preload: REP_PCNAME] that might make youwant to vote for him? Randomization: Order of Presidentialcandidates,"1. Yes
2. No
1. Yes
2. No
","-8. Don't know
-9. Refused
-8. Don't know
-9. Refused
"
candlik_likewhatrpc,What isit that R likes about RepublicanPres cand,(What isthat?) Randomization: Order of Presidentialcandidates,,"-2. Textresponses available in separatefile
-2. Textresponses available in separatefile
"
candlik_dislrpc,Is thereanything R dislikes about Republican Prescand,Is there anything in particular about [preload: REP_PCNAME] that might make youwant to vote AGAINST him? Randomization: Order of Presidentialcandidates,"1. Yes
2. No
1. Yes
2. No
","-8. Don't know
-9. Refused
-8. Don't know
-9. Refused
"
candlik_dislwhatrpc,What isit that R dislikes about RepublicanPres cand,(What isthat?) Randomization: Order of Presidentialcandidates,,"-2. Textresponses available in separatefile
-2. Textresponses available in separatefile
"
congapp_job,Approval ofCongress handling its job,DoyouAPPROVEorDISAPPROVEofthewaytheU.S.Congresshasbeen handling itsjob?,"1. Approve
2. Disapprove
1. Approve
2. Disapprove
","-8. Don't know
-9. Refused
-8. Don't know
-9. Refused
"
congapp_jobst,Strength appr/disapproveCongress handling its job,Do you[approve/disapprove] STRONGLYor NOT STRONGLY?,"1. Strongly
2. Not strongly
1. Strongly
2. Not strongly
","-1. Inapplicable
-8. Don't know
-9. Refused
-1. Inapplicable
-8. Don't know
-9. Refused
"
congapp_job_x,PRE: SUMMARY-Approvalof Congress,,"1. Approve strongly
2. Approve not strongly
4. Disapprovenot strongly
5. Disapprove strongly
1. Approve strongly
2. Approvenot strongly
4. Disapprove notstrongly
5. Disapprove strongly
","-8. Don't know
-9. Refused
-8. Don'tknow
-9. Refused
"
presapp_track,Are thingsin the country on right track,"DoyoufeelthingsinthiscountryaregenerallygoingintheRIGHTDIREC- TION,ordoyoufeelthingshaveprettyseriouslygottenoffontheWRONG TRACK?","1. Right direction
2. Wrongtrack
1. Right direction
2. Wrongtrack
","-8. Don't know
-9. Refused
-8. Don't know
-9. Refused
"
presapp_job,Approve ordisapprove President handling job as Pres,DoyouAPPROVEorDISAPPROVEofthewayBarackObamaishandling his jobas President?,"1. Approve
2. Disapprove
1. Approve
2. Disapprove
","-8. Don't know
-9. Refused
-8. Don't know
-9. Refused
"
presapp_jobstr,How muchapprove or disapp Pres handling job,Do you approve STRONGLY or NOT STRONGLY? / Do you disapprove STRONGLYor NOT STRONGLY?,"1. Strongly
2. Not strongly
1. Strongly
2. Not strongly
","-1. Inapplicable
-8. Don't know
-9. Refused
-1. Inapplicable
-8. Don't know
-9. Refused
"
